stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.61,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0
 14-21,10.54,0,0,0,0.82,0,0,1.17,1.35,0.85,0,0,1.81,0.91,0.84,0
 24-34,2.85,0.68,0,0,0,0,0.8,10.61,0,4.73,1.19,0,0.75,0,1.59,1.06
 36-46,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,0.59,0,0,0.38,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0
 72-82,0,0.76,0,0,0,0,0,0,0,2.9,0,0,1.11,0,0,0
 84-94,0,1.25,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0
 96-106,0,0,0,0.72,0,0.92,0,0,0,0,0,0,1.23,0,0,0
108-118,0,0,0.53,0,0,0,0,0,1.1,0,0,0,1.3,0,0,0
120,0,0,1.35,0,0,0,0,0,0,2.51,0,0,1.71,0,0,0
