stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0
 10-12,7.51,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0.6,0,0,0,0
 36-46,0,0,0,0,0,0.96,0,0,2.15,0,0.81,13.6,0,0,1.03,0,0,0,0
 48-58,0,0,0,0.93,0,0,1.29,0,1.49,0,0,30.98,0,0,2.54,0,0,0,0.99
 60-70,0,0,0,13.13,0,0,0,0,3.46,0,0.59,78.57,1.5,0,12.66,0,0,0,0
 72-82,0,0,0,16.4,0,1.17,0,0,4.03,0,0,86.64,0,0,2.32,1.53,0,0,0
 84-94,0,0,0,6.92,0.56,0,0,0,11.08,0,0,62.02,0,0,0,0,0,0,0
 96-106,0,0,0,17.04,0,0,2.99,0,8.62,0,0,28.27,0,1.16,0,0,0,0.91,0
108-118,0,0.74,1.75,12.33,0,0,0,1.9,8.07,1.27,0,55.72,0,0,9.2,0,0,0,0
120,0,0,0,0,0,0,0,0,11.73,6.89,0,17.66,0,0,0,2.12,2.15,0,0
