stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,10.32,210.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0,0,0,0,0,0
  5-6,0,84.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0
  7-9,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,32.94,0,0,0,7.33,0,0,0,3.78,0,0,0,0,0,0
 14-21,0,0,0,2.93,8.9,8.07,0,1.39,0,0,0,2.47,29.52,0,0,15.47,0,0,0,2.04,3.53,1.53,0,0.95,61.26,2.38,31.55,9.98,0,0,0,5.04,250.37,3.55,9.85,0,0,0,0
 24-34,0,0,1.98,1.51,6.17,0,0,7.79,0,1.88,0.74,0.95,20.04,0,0,131.49,0,0.96,27.64,0,0,3.94,0,0,41.26,0,120.23,7.08,0,0.68,0,0,217.12,0,8.6,0,0,4.53,3.29
 36-46,0,0,1.4,0.84,1.73,0,0,26.11,0,0.83,0,0.92,16.67,0,0,61.54,0,2.57,4.32,0,0.83,10.51,0,0,142.21,0,162.64,5.54,0,0,0,0,131,1.09,2.73,0,0,1.8,0
 48-58,0,0,0,0.41,3.57,0,0,36.12,0,0,0,3.31,12.3,4.59,0,25.75,0,2.49,17.6,0,2.35,5.18,0,0,47.31,0,115.08,1.08,0,0.65,0,0,39.1,0,1.73,0,0,0,2.61
 60-70,0,0,0,0,7.92,0,1,56.43,0,4.47,0.84,2.19,20.32,0,0,30.43,0,9.45,7.09,0,1.81,4.74,0,0,33.82,0,130.14,5.79,0,0,0,0,85.5,0,8.28,32.22,0,0,0
 72-82,0,0,1.15,0,19.83,3.9,0.49,32.56,0,1.63,1.17,16.17,55.77,2.62,0,42.64,0,14.16,8.15,0,15.36,2.83,0,1.28,35.02,0,219.14,6.25,0,2.04,0,0,72.25,0,3.62,25.05,0,0.63,0
 84-94,0,0,1.77,1.58,10.96,0,3.3,44.79,0,0.87,0.69,3.97,173.53,0,0,35.22,3.75,29.26,7.79,0,11.61,13,0,0,36.03,0,217.97,3,0,2.16,1.4,0,135.41,0,0,88.22,0.56,0,11.79
 96-106,0,0,0,0,41.18,7.69,6.34,63.97,0,1.29,0,5.7,234.57,0,1.99,83.35,0,55.34,1.52,0,23.23,12.17,0,0,35.95,0.77,395.97,8.05,0,2.33,0,0,202.78,0,6.59,230.06,0,0,0
108-118,0,0,1.37,0,59.86,0.72,13.93,61.68,1.11,2.35,1.28,34.3,249.07,0,1.69,83.02,4.16,44.94,1.49,0,46.82,15.36,0,0,14.57,0,257.64,11.85,0,0,0,0,178.81,0,5.31,259.7,0.96,2.67,0
120,0,0,0,0,103.28,9.39,6.93,61.49,2.94,2.41,0,23.09,160.64,0,9.38,47.94,0,33.82,8.33,0,50.69,11.06,3.7,6.79,36.75,16.67,363.96,2.51,0,0,0,0,138.83,0,0,104.5,0,0,0
