stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,14.21,37.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0
  7-9,0,5.51,7.03,0,0,0,0,0,0,0,0,0,0,0,0,7.68,4.32,0,0,5.98,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0,0,0,6.27,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,1.36,0,0,0,0,0,4.64,0.83,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,0.95,0,0,0,0,0,6.45,0,0,0,0,0.81,0,0,0.66,0,0
 36-46,0,0,0,0,0,3.32,0,0,0,0,0,0,0,1.29,0,30.62,0,0,0,0,0,0,0,5.43,3.61,0
 48-58,0,0,0,0,0,37.1,0,0,0,0.59,0,0,0,0.58,0.43,40.78,0,0,0,0,0,0,0,7.4,0,0
 60-70,0,0,0,0,0,83.54,0,0.84,0,0,0,0,0,0,0,49.38,0,0,0,0,0,0,0,11.58,0.72,0
 72-82,0,0,0,0.5,0,183.67,1.63,0,8.64,0.81,0.52,0,0,2.26,0,96.73,0,0,0.54,0,0,0,0,12.18,2.05,0
 84-94,0,0,0,0,0,212.35,0,0,3.88,0,0,0,4.69,3.61,0,109.23,0,0,0,0,0,0,0,24.22,2.53,0
 96-106,0,0,0,0,8.02,235.68,1.04,0,3.78,0,3.11,0,0,3.72,0,70.96,0,0.73,0,0,0,0,0,5.17,0,1.71
108-118,0,0,0,0,2.57,192.23,0.54,0.5,8.18,0,0.57,0,0,4.27,5.39,133.65,0,2.38,0,0,0.47,0.84,0,1.12,1.07,1.42
120,0,0,0,0,0,326.77,0,0,13.71,0,0,1.36,0,0,0,230.79,0,0,7.34,0,16.47,0,0,16.77,6.98,0
