stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,7322.18,180437.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3999.67,0,0,0,0,0,0,0,0,0
  5-6,6386.38,174669.68,0,250.12,0,0,0,0,0,0,0,109.32,0,0,0,0,0,0,0,0,0,0,0,7940.89,54.68,0,0,1682.63,0,2881.35,0,0,0,0,0,0,0,0,0
  7-9,162.02,2848.47,0,11060.34,0,17.84,2888.07,0,0,0,0,155.12,0,0,0,0,0,0,0,0,0,0,0,84718.6,547.15,0,0,47907.63,0,707.47,196.03,0,77.34,0,0,0,0,0,0
 10-12,3.8,1400.21,0,7434.47,0,353.24,880.15,0,0,0,0,97.88,0,0,0,0,0,14.36,0,0,0,0,0,30631.16,284.91,0,0,37100.27,0,280.54,56.74,17.55,2393.5,4.35,4.33,0,0,0,0
 14-21,0,37.92,1.09,13.09,2671.24,952.11,719.38,196.12,0,3.6,36.81,0,0,0,19.41,1.5,0,49.65,0,709.07,1.49,0,263.09,3096.92,399.91,0,28.99,2711.25,0,786.86,0,6941.78,79.85,1152.64,1120.95,0,11.6,0,0
 24-34,0,0,0,8.15,140.93,14.44,19.95,550.12,40.06,9.73,2.31,0,6.04,5.2,0,0,0.77,33.28,0,247.32,0,0,112.46,504.19,16.89,1.08,77.23,0,0,19.47,0,0.71,1.26,425.14,381.59,0,42.6,0,0
 36-46,0,0,0,0,2.13,0,0.69,114.52,146.71,3.21,0,0,4.86,0,0,0.83,0,13.08,0,83.16,0,0.67,100.05,83.22,1.49,0,12.02,0,0,2.05,0,0,0,0,132.64,0,7.63,0,0
 48-58,0,0,0,0,2.68,0.65,3.37,48.18,78.83,1.7,0,0,0.78,0,0,3.23,0,4.36,0.59,66.92,0,2.28,20.78,27.7,0,0,1.88,0,0,0,0,0,0,0,61.86,0,1.1,0,2.63
 60-70,0,0,0,0,0,0,13.94,20,20.13,0,0,0,0,0,10.41,0,0,0,0.73,33.46,0,0,1.54,15.01,0,0,0,0,0,4.6,0,0,0,0,0,0,2.28,0,0
 72-82,0,0,0,0,0,0,3.13,2.18,41.66,3.71,0,0,0,0,1.09,0,1.3,0,0,30.39,0,0.55,4.65,30.06,0,0,3.18,0,0.71,0,0,0,0,0,0,1.45,10.13,2.27,0
 84-94,0,0,0,0,2.03,0,5.17,5.82,29.89,6.68,0,0,0,0,18.15,0,0,0,0,19.22,0,0,3.38,8.94,0,0,0,0,0,0,0,0,0,0,0,2.09,1.04,0,0.74
 96-106,0,0,0,0,0,0,12.51,13.63,31.08,1.48,1.09,0,0,0,5.92,0,0,0,0.69,21.4,0,0,0.62,23.03,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0
108-118,0,0,0,0,0,0,9.27,7.61,22.62,6.21,0,0,0,0,4.5,19.35,0,0,0,11.36,0,1.5,1.63,13.24,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.69,0,4.97,5.06,27.38,10.68,0,0,0,0,0,0,0,0,0,18.94,0,0,0,4.79,0,0,5.47,0,0,0,0,0,0,0,0,0,0,0,0
