stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.38,0,0,0,0,0,0,0,0,0,21.21,0,0,0,0,0,0,0,0
 10-12,12.89,0,0,0,0,0,0,0,0,0,0,0,0,57.37,0,0,19.39,0,0,0,0,0
 14-21,0,0,0.9,0,0,0,0,0.94,0,0,0,0,1.18,3.55,0,0,0,0,1.95,0,0,0
 24-34,0,0.84,0,0,0,0,0,0,0,0,0,0,1.34,4.5,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.33,0,0,0,0,0,0.72,8.83,0,0,0,0,2.37,0,1.09,0
 48-58,0,0,0,1.97,0,0.68,2.64,0,0,0,1.92,0,0,4.71,0,0,0,0,4.8,0,0,0
 60-70,0,0,0,2.34,1.34,0,0,0,1.47,0,1,0,0,6.09,0,1.72,0,1.13,1.9,0,0,0
 72-82,0,0,0,5.43,0,0,0,0,0,0,0.82,0,0.5,0,0,0,0,0,1.97,0,1.38,0
 84-94,0,0,0,8.38,0,0,0.69,0,0,0,16.38,0.58,1.08,3.16,0,0,0,0,1.21,0,0,0.89
 96-106,0,0,0,0,0,0,5.48,0,0,0,2.04,0,0,5.92,2.09,0,0,0,0,1.2,0,0
108-118,0,0.42,0,13.23,0,0,0,0,0,0.68,0,0,1.35,0,0,0,0,0,0,0,0,0
120,0,0,0,12.21,0,0,19.57,0,0,0,2.85,0,0,11.97,0,0,0,0,0,0,0,0
