stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,256.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475.68,0,0,0,0,0,0,0,0
  5-6,140.72,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738.45,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.16,0,0,0,0,0,0,0,0,0,0,0,30.34,0,0,0,14.64,0,26.33,0,0,0,0,0,0,0,0
 10-12,0,0,8.72,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.02,0,0,0,3.22,0,0,0,8.7,0,0,0,0,0,0
 14-21,0,0,3.55,29.88,8.76,0,0,1.17,0,0,0.9,0,1.15,3.99,0,0,1.55,1.88,0,10.93,0,0,1.98,20.02,0.9,0,0,0,0,55.16,2.04,0.89,10.3,0,0,1.01,0,0
 24-34,0,0,0,12.63,2.74,1.3,0,4.86,0,0.8,0.71,0,19.37,15.56,19.31,0,0.73,0,0.64,11.13,0,0,6.24,48.33,2.2,3.52,0,0,0.99,116.09,0,1.94,2.24,0,0,33.79,0,0
 36-46,0,0,0,3.52,0,2.27,0,14.1,2.07,2.24,0,0,5.95,17.99,3.49,1.02,2.16,0,0,6.66,0,0.56,3.1,24.84,1.88,1.24,1.48,0,0,78.51,0,0,6.65,0,0,10,0,11.17
 48-58,0,0,0,9.12,1.37,8.6,0,4.28,0,2.23,0,0,5.51,18.34,19.32,1.15,0.56,4.43,0,11.94,1.57,0,1.15,23.56,0.56,1.51,0,0,0,88.85,0,0.58,8.11,0,0.4,10.03,0,6.97
 60-70,0,0.86,0,8.69,10.85,4.55,0,1.57,2.56,6.42,0,0,3.88,33.45,12.61,10.99,1.74,0,0,8.7,13.28,0.99,2.98,38.83,4.69,0,2.36,0,1.08,72.61,0,1.06,4.86,0.77,1.93,34.85,0,3.64
 72-82,0,0,0.56,13.39,5.66,17.38,0,14.17,0.59,10.33,2.61,0,5.28,55.09,6.99,2.52,2.69,0,0,30.66,1.61,2.47,0.72,27.2,0,1.62,0,0,0.71,31.87,0,0,2.17,1.66,0.66,53.66,0,3.26
 84-94,0,0,0,31.1,4.76,12.41,0.56,8.42,0,12.54,8.39,0,10.73,61.59,10.79,16.84,2.42,2.64,2.21,33.55,0,5.31,0.57,23.62,0,1.73,0,0,0.57,109.82,0,2.73,1.98,3.95,1.05,29.01,0.77,9.25
 96-106,0,0.81,0,49.58,1.76,15.51,0.67,4.44,0,27.26,17.89,0,7.32,104.22,9.4,11.97,2.47,5.65,0,55.55,0,2.77,1.56,50.64,4.97,12.7,0,0,3.5,97.63,0,3.98,4.04,8.9,3.27,53.48,2.63,3.62
108-118,0,0,0,45.18,6.88,19.43,0,8.86,0,32.67,24.06,0,3.17,86.06,22.76,16.96,2.7,0.63,2.2,59.2,15.89,3.47,1.04,22.9,1.37,4.62,1.16,0,0,122.78,0,1.32,0.47,6.63,0,33.89,1.09,10.45
120,0,0,0,110.78,6.31,7.8,0,13.09,0,14.03,16.65,0,21.42,137.6,9.98,8.7,9.58,0,0,68.29,4.08,0,0,38.29,0,7.97,6.46,0,0,83.24,0,4.63,1.17,1.37,0,43.57,17.37,0
