stage,blastomeres,epidermis,eye,glial,gut,immune,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,17.21,0,0,0,0,0,0,0,0,0,13.28,0
  7-9,0,0,0,0,0,0,0,0,5.69,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.31,0,0
 24-34,0,0,0,0,0,0,0,0,1.37,0,0,1.29
 36-46,0,0,0,0,0,0,0,0,0,0,1.94,0
 48-58,0,0,0.43,0,0,0,0,0.46,1.38,0,0,0
 60-70,0,4.37,2.45,0,0,0,0,0,0,0,1.33,0
 72-82,0,0,0,0,0,0,0.53,0,1.14,0,0,1.8
 84-94,0,0,0,0,0,0,0,0,1.34,0,0,0
 96-106,0,0,0,3.21,1.13,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.7,0,0,0,0,0,0
120,0,0,0,3.15,0,1.96,0,0,0,0,0,0
