stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,178.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.59,0,0,0,0,0,0,0,0,0,0
  5-6,6.83,368.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.36,0,117.8,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.71,0,0,70.69,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,360.54,0,0,0,87.57,0,50.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.64,0,39.38,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823.22,22.93,0,0,245.96,0,13.54,3.03,0,26.39,3.24,4.47,0,0,0,0,0
 14-21,0,0,0,1.03,25.22,1.77,1.04,0,0,0,2.8,1.77,0,0,0,0.89,0,0,0,6.92,0,0,1.27,23,0.84,0,0.93,1.52,0,26.12,0,1.86,1.32,7.66,12.15,0,0,0.83,0,0
 24-34,0,0,0,0.65,5.07,0,1.08,0.68,0,0,0.69,0,0,0,0,0.94,0,4.31,0,3.54,0,0,0.65,29.76,0,2.91,0,0,3.82,84.93,0,0,0,0,7.59,0,0,2.45,0,0
 36-46,0,0,0,0,1.34,0,2.66,0,0,0,0.7,0,0,0,0,1.01,1,0,0,0,1.01,0,0.75,18.83,0,4.07,0,0,0,209.67,0,0,0,0,2.28,0,0,3.57,0,0
 48-58,0,0,0,0,8.3,0,16.41,0,1,0.45,5.59,1.42,0,0.82,0.5,0,0.51,0,0,15.6,2.14,0.42,1.11,68.19,0,1.17,0.38,0,0,134.81,0,0,0,0,10.9,0,0,0,0,0
 60-70,0,0,0,0,6.44,0.66,27.18,0,2.21,2.12,4.73,0,0,0,1.92,1.37,0.73,0,6.98,8.7,0,0,1.26,21.6,0,0.89,0,0,0,116.61,0,0,0,0,4.14,0,0.6,0,0,0
 72-82,0,0,0,0,8.51,1.13,7.63,0,0,0,0,3.1,0,0,0,1.24,1.95,0,0,5.11,2.15,0,0,27.24,0,0.88,1.4,0,0,132.09,0,0,0,0,0.71,0.76,0,0,1.2,0
 84-94,0,0,0,0,18.32,0,17.88,0,3.39,1.74,10.43,1.06,0,0,0,2.56,1.05,0,0,10.92,1.68,0,0,10.98,0,0,0,0,0,513.71,0,0,0,0,5.83,2.1,0,0.65,0,0
 96-106,0,0,0,0,40.07,0,7.67,0,1.33,0,3.89,3.66,0,0,0.64,5.65,0.66,0,0,3.4,5.69,0,0,16.71,0,0.97,2.26,0,0,346.36,0,0,0,0,0,0,0,2.68,1.67,5.06
108-118,0,0,0.6,0,27.85,0,16.65,1.2,2.71,0.86,1.26,0,0,1.1,2.89,6.91,5.31,0,0,25,0.77,1.58,1.17,30.48,0,0,2.38,0,0,267.02,0,0,0,0,2.33,0,0,6.66,0,5.69
120,0,0,0,0,46.79,0,1.66,0,26.51,0,14.73,3.03,0,0,13.02,2.19,6.63,0,0,26.72,2.63,0,1.39,105.23,0,1.11,0,0,0,241.05,0,0,0,0,0,0,0,2.09,0,0
