stage,epidermis,eye,fin_epithelia,gut,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.59,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0
 24-34,0,0,0,0,2.37,0,0,0,2.03,0,0,32.03,1.38,0,0
 36-46,0.63,0,0,0,0,0,1.65,0,0,3.08,0,33.42,0,0,0
 48-58,0,0,0,0,0,0,0,0,2.18,0,0,13.85,0,0.6,0
 60-70,4.18,2.43,0,0,0,0,0.63,0,5.92,0.58,0,40.79,0,0,0
 72-82,2.36,3.36,0,0,1.17,1.35,0,0,0,0,0,14.24,0,0,0
 84-94,0,0.98,0.57,0,1.63,2.01,0,0,0.85,0,0,62.26,0.67,0,5.56
 96-106,3.49,0,1.32,1.72,3.58,1.05,0,0,0.67,2.48,0,44.08,0,0,0
108-118,6.86,2.87,0,1.89,0.43,1.15,0,2.65,1.83,0,0.53,33.75,1.3,0,2.16
120,17.96,0,1.14,0,1.61,0,0,0,18.13,0,0,49.77,0,0,7.38
