stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.03,0,0,0.82,0,0,0,0,76.98,0,0,0,0,0
 24-34,0,1.41,1.06,0,6.33,0,0,0,0.89,0,0,0,0,0,0,0,0,6.04,0,0,1.88,469.76,10.1,3.78,0,0,1.56,0.94,1.1,297.97,0,0,2.1,0,0
 36-46,0,0,0.98,0,12.53,0,0,1.4,1.98,0,0,0,0,0,0,0,0,1.81,0,0.85,0,1312.8,12.83,0,0,0,0,0,0,442.6,0,0,0.86,0,0
 48-58,0,0,2.75,0.38,107.64,0.74,0,0.44,18.21,0,0,0,0,0,0,0,0,5.35,0,0,1.11,2135.87,0,1.83,0.44,0,1.01,0,0,409.22,0,0.89,0.63,0,2.36
 60-70,0,0,9.61,0,311.08,0,0,4.74,25.33,1.61,0,0,0,0,0,0,0,18.75,0,0,5.37,2739.67,0,2.04,0,0,6.74,0,0,538.5,0,0,0,0,10.05
 72-82,0,1.18,4.86,1.78,545.5,0,0,0,48.55,0.56,0,1.35,0,0,0,2.77,0,15.72,4.08,0,0,3232.4,0,0,0.75,0,0,0,0,327.85,0.69,0,8.56,0.59,8.98
 84-94,0,0.86,2.66,0,448.73,0,0,2.81,24.15,0,0.7,4.24,1.56,5.22,0,5.87,5.31,16.82,0,0.8,6.88,1987.34,1.52,0.8,0,0,1.97,0,0,212.7,0,0,0,2.24,10.55
 96-106,0,0,20.01,21.41,390.57,0,0,10.49,36.39,0,0,0,0,4.35,0.63,8.82,0,23.69,0.71,0.62,0,1929.51,0,3.48,1.16,4.47,6.35,0,0,116.73,0,0,0,0,12.97
108-118,0,0,8.16,0,381.67,0,4.5,1.81,33.32,0,0,0.6,0,0.84,0,0,0.58,12.32,1.14,0,1.39,2011.04,0,0,0.78,1.23,0,0,0,97.76,0,0,0.83,1.03,4.96
120,0,0,32.12,0,471.46,0,0,0,49.95,0,0,0,0,0,0,0,0,18.09,0,0,2.38,3123.08,0,0,0,0,0,0,0,133.86,0,0,15.62,0,0
