stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature
  3-4,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0
  5-6,63.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0
  7-9,0,0,0,0,11.85,0,0,0,0,0,0,0,0,0,157.07,0,13.86,0,0,0,0,0
 10-12,4.58,45.34,0,0,3.32,0,0,0,0,0,0,0,0,0,214.63,0,57.15,0,5.47,0,0,0
 14-21,0,0,2.45,0.92,1.14,0,0,0,0,0,0.92,0,0,1.25,9.37,0,0,0,0,0.99,2.12,0
 24-34,0,0,0.75,0,3.8,0,0,0,0,0,2.53,0,0,0.61,32.11,0,0,0.98,0,0,0.84,0
 36-46,0,0,0.6,0,2.39,0,4.4,0,0,0,0.67,0,0,2.69,24.21,0,0,0,0,0,2.74,1.65
 48-58,0,0,0,0,5.39,0,0.94,0,0,0.98,2.98,0,0,0.39,6.5,0.52,0,0,0,0,1.7,0
 60-70,0,0,2.05,0,0.56,0,2.07,0,0,0,4.83,0,0,0,0.9,0,0,0,0,0,0,0
 72-82,0,0,0.52,0,0,1.7,2.36,0,0,0,4.45,1.01,0,0,1.25,0,0,1.98,0,0,0,0
 84-94,0,0,0,0,0,0,2.3,0,0,0,2.75,0,1.07,2.06,7.62,0,0,0.71,0,0,0,0
 96-106,0,0,0,0,0.65,0,0,0,0,0.81,5.97,0,0,0,2.69,0,0,2.02,0,0,0,0
108-118,0,0,0.88,0,0.85,0.72,2.89,0,0.65,0,0.54,0,0,0,1.3,0.53,0,0,0,0,0,0.88
120,0,0,0,0,1.44,0,0,1.29,0,0,0,0,0,0,1.99,0,0,0,0,0,0,3.29
