stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,ionocyte,mucous,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste
  3-4,119.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.27,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0
  7-9,0,14.51,0,0,3.35,0,0,5.64,0,0,12.95,12.97,0,0,0,0
 10-12,0,0,0,0,5.96,0,0,0,0,0,8.8,0,0,0,0,0
 14-21,0,1.09,1.94,0,0,0,0,0,0,0,0,0,0,0.9,0,0
 24-34,0,0,4.69,0,0.8,0,0,0,0,0,3.26,0,6.53,0,0,0
 36-46,0,0,0.57,0,0,0,0,0,0,0,1.55,0,2.55,0,0,0
 48-58,0,0,2.3,0,0,0,0.39,0,0,0.74,0.88,0,0,0,2.19,0
 60-70,0,0,0.57,0,0,0,0,0,0,0,3.38,0,1.25,0,1.35,0
 72-82,0,0,0,0.84,0.78,0,0,0.5,0,0,2.56,0,0.53,0,0,0
 84-94,0,0,0.58,0,0.96,0,0,1.36,0,0,4.94,0,2.36,0,0,0
 96-106,0,0,0.6,0,0.61,0,0.6,0,0,0,3.21,0,13.67,0,0,0
108-118,0,0,0.6,0,0,0.55,0,0,0.42,0,1.12,0,1.23,0,0,0.8
120,0,0,0,0,0,0,0,0,3.9,0,11.86,0,8.21,0,0,0
