stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.88,0,0,0,0,0,0,0,0,3.54,0,1.72,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,14.67,0,0,0,0,0,0,0,0.77,11.07,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,166.49,0,0,0,0,0,0.52,0.47,0,7.52,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,6.56,0,1684.14,0,4.8,0,2.69,0,0,0,3.03,41.63,0,0,0,0,0,0,5.3,0,0,0,0
 72-82,0,0.5,3.24,6.39,2839.51,0.55,0,2.23,19.23,0.7,0,0,7.26,69.18,0,1.43,0.82,0,3.01,0,1.66,0,0,0.52,1.33
 84-94,0,0,8.88,1.3,1683.21,0,0,0,23.61,0,1.52,1.27,2.96,59.11,1.25,0,0.67,2.93,2.86,0,2.63,0,1.96,0,0
 96-106,0,0,2.24,1.1,1927.6,0,0,0,16.41,0,0,0,8.21,49.4,0,0,0.85,0,9.3,0,0,0,0,0.93,0
108-118,0,0,8.57,0,1613.01,0,0,0,10.72,1.26,4.6,0.64,9.52,34.72,2.74,0,0,0,5.94,1.48,3.94,3.42,0,0,0
120,0,0,19.14,0,704.76,1.01,0,0,50.75,0,0,0,1.92,115.19,0,0,0,0,0,0,0,0,0,0,0
