stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,taste,vasculature
  3-4,39.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0
  5-6,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.59,0,0,0,0
  7-9,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,0,1.17,0,0,7.88,0,0,0,1.92,2.94,0,0
 24-34,0,0,0,0.66,0,0,0,0,0,0,0,0.59,0,0,11.7,0,0,6.55,2.15,1.47,0,0
 36-46,0,0,0,2.44,0,0,0.85,0,0,0,0,0.61,0,0,9.81,0,0,9.85,0,3.51,0,0.94
 48-58,0,0,0,2.78,0,0,6.05,0,0.38,0,0,0,0,0.55,16.34,0,0,15.3,0,2.15,0,0
 60-70,0,0,0.88,7.73,0,0.7,0,0,0,0,0,0,0,0.98,8.36,4.37,0.79,22.69,0,0,0,0
 72-82,0,0,0,1.52,1.61,0,0,0.63,0,3.86,0.74,0.6,0.52,3.63,0.99,1.35,1.12,5.11,0,0,0,0
 84-94,0,0,0,1.95,0,0,0,0,0,0,0,1.48,0,0,4.73,3.94,0,27.87,0,0,1.16,0
 96-106,0,0,2.52,7.66,0.98,0,0.83,0,0,1.37,2.69,3.94,0,0,10.47,2,0,21.28,0,0,11.58,0
108-118,0,0,2.77,7.17,2,0,0,0,0,1.04,1.31,0.67,0,0,3.55,6.49,0,16.93,0,0,5.15,0
120,0,0,0,22.98,2.07,0,0,0,0,3.46,3.84,0,0,0,0,0,0,18.41,0,0,0,0
