stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,66.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.72,0,0,0,0,0,0,0,0,0,0,0,0,0,21.97,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,0,15.59,0,0,0,0,0,0
 14-21,0,2.48,3.47,0,0,0,0,0,0,0,0,0,0.97,0,7.67,0,0,0,0,4.26,0,1.02,0
 24-34,0,3.61,0.67,0,0,0,0,1.36,0,0,0,0,0,0,49.82,1.69,0,0,0.97,0,0,22.39,0
 36-46,0,1.2,0,17.2,0,0,0,2.85,0,3.84,0,0,1.41,0,18.6,0,0,0,0,3.65,0,22.86,0
 48-58,0,0,0,137.53,0,0,2.14,3.84,0,0,0,0,1.46,0,15.64,0,0,0,0,0.79,0,24.1,2.31
 60-70,0,3.36,0,487.63,0.83,0,2.6,5.37,3.92,0,0,0,1.76,0.76,19.45,0,0,3.8,0.59,2.6,0,8.78,0
 72-82,0,2.63,0,475.95,0,0.69,7.16,3.13,0,0,0,0,0.5,0,35.7,0,0,0.9,0,0,0,56.51,0
 84-94,0,0,0,199.87,0,0,3.07,7.32,0,0,1.61,0,1.45,0,7.24,0,0,1.32,0.64,10.45,0,36.76,0
 96-106,0,1.94,0,212.2,0,1.88,1.03,8.43,0,0,0,0,1.96,0,14.11,0,0,0,0.61,0,1.74,46.29,0
108-118,0,1.56,0,106.24,0,0.7,5.16,5.51,0,0,0,3.36,0.61,0,8.68,2.17,0,0,1.55,0,0,45.63,0
120,0,4.12,0,100.21,0,1.85,9.63,15.39,0,0,0,0,7.07,0,7.66,0,0,0,3.4,0,0,36.08,0
