stage,epidermis,erythrocytes,gut,ionocyte,neural,periderm,vasculature
 24-34,0,0.89,0,0,0,0,0.77
 36-46,0,0,0,0,0,2.24,0
 60-70,0,0,0,0,0.66,0,0
 72-82,0,0,0,0,0,0,1.36
 96-106,0,0,0,0.85,5.61,0,0.96
108-118,0,0,1.06,0,0,0.65,0
120,1.69,0,0,0,0,1.65,0
