stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,somites,spinal_cord
  3-4,39.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.33,0,0,0,0,0,0,0,0,0,0,0,28.69,0,0,0,3.49,0,0,0
 10-12,0,4.44,0,0,0,0,0,0,0,0,0,0,0,111.95,6.15,0,0,15.59,22.64,0,0
 14-21,0,0.93,0.86,7.67,0.87,0,37.42,0,0,3.49,0,0,1.43,28.76,0.89,0,5.39,0.87,27.13,0.81,49.3
 24-34,0,0,0.82,0,0.82,0,12.79,0,0,2.07,0,0,0,37.57,0,17.45,3.04,0,5.1,1.28,28.4
 36-46,0,0,0,0,0.81,0,7.72,0,0,0,0,0,0,33.17,0,2.47,0.58,0,0,0,19.49
 48-58,0,0,0.5,0,6.49,0,4.26,0,0.5,0,0,0,0,18.76,0,5.09,1.76,0,0.39,0,20.6
 60-70,0,0,0,0,6.72,0.84,12.91,0,0,0.93,0,0,0,4.57,0,2.25,1.03,0,0,0,0.92
 72-82,0,0,0,0,6.29,0,6.34,0.54,0,0,0,0,0,2.56,0,7.79,0.95,0,0.73,0,9.62
 84-94,0,0,0,0,7.29,0,5.53,0,0,0,0,0.57,0,3.14,0,1.83,0.6,0,0,0,4.24
 96-106,0,0,0,0,19.87,0,1.21,0,0,0,2.07,0,0,1.19,0,10.98,0.57,0,0,0,0.94
108-118,0,0,1.05,0,2.61,0,3.21,0,0,1.67,0,0,0,0,0,5.26,2.04,0,2.3,0,1.93
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,3.82
