stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,150.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
  5-6,16.84,134.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.36,0,0,0,16.96,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.43,0,0,0,63.19,0,0,0,6.93,0,22.37,0,0,0,0,0
 14-21,0,0,1.41,12.27,282.88,1.75,5.51,0,0.82,0,1.05,0,1.02,10,0,0,0,0,0,0,18.88,0,0,102.74,83.07,2.19,0,0.95,2.16,0,2.55,33.23,2.44,1998.98,3147.07,55.91,0,0,0,0
 24-34,0,0,0,1.23,127.79,2.6,55.85,1628.09,5.12,3.69,6.18,0.66,0,19.73,0,1.91,3.58,3.12,6.69,9.24,92.97,3.14,2.43,642.23,872.62,5.7,0.95,1.79,0,1.14,71.53,1.55,2.88,1224.15,2094.02,154.74,0,48.34,0,0
 36-46,0,0,0,0,23.42,0,56.85,2434.76,8.76,0,8.84,0,0,11.99,0,0.68,0,0,0,8.29,67.76,0,0,217.06,514.6,0.58,4.24,0,0,0,51.83,0,0,820.76,106.85,124.93,0,0.62,0,8.15
 48-58,0,0,0,0,33.96,3.69,216.09,1846.14,0,14.23,41.44,0.46,0,1.94,10,0,4.87,0.5,3.29,19.91,84.76,0,3.43,234.95,678.48,6.69,2.52,0.43,0,0,20.29,0,0,621.06,0,151.09,0.89,14.33,0,35.29
 60-70,0,0,0,0,9.89,1.96,195.47,891.92,12.23,2.47,22.32,0,0,0,0,0,6.19,0,0,0,53.16,1.83,5.24,166.73,386.34,0.93,0,3.28,2.43,0,13.84,0,0,348.59,0,40.39,14.79,3.22,0,55.72
 72-82,0,0,0.5,0,3.9,5.24,87.75,364.56,2.82,0,22.51,0.67,0,1.12,3.54,0,0,0.79,0,0,39.84,1.59,6.7,65.95,175.39,0,4.83,3.92,0,0,2.22,0,0,191.81,0,8.3,0,4.04,3.97,13.13
 84-94,0,0,0,0,7.83,6.52,88.27,361.07,3.26,0.59,3.62,0,0,0,2.19,1.52,6.24,9.81,0.96,7.63,32.74,0,2.67,82.62,69.35,0.6,0,0,0,0,23.51,0,0,327.8,0,14.57,3.99,1.17,1.95,4.35
 96-106,0,0,0,0,12.22,14.29,124.56,435.89,1.97,18.27,36.29,3.64,0,6.18,2.05,0.56,2.48,3.05,18.74,0,67.76,0,5.2,47.38,213.46,1.17,0.71,0.65,2.41,5.5,22.9,0,0,292.55,0,6.97,0.96,1.85,1.43,8.96
108-118,0,0,0.91,0,5.22,0.84,80.83,281.19,0,1.17,19.45,0.45,0,2.89,2.73,0,0.51,0,0.89,0,31.22,0,1.27,62.28,81.65,0.55,0.88,1.7,0,1.05,3.26,0,0.48,267.81,0,4.7,1.77,4.23,2.45,5.25
120,0,0,0,0,1.65,7.14,44.1,208.5,0,0,24.94,0,0,1.85,0,0,0,0,0,0,50.85,0,0,41,179.28,0,5.91,0,0,0,2.94,1.12,1.04,78.08,0,0,2.68,0,0,16.58
