stage,eye,fin_mesenchyme,glial,gut,liver,mesenchyme,neural,periderm,spinal_cord
 36-46,0,0,0,0,0,0,0,0,1.58
 48-58,0,0.67,0,0,0,0,0,0,0
 72-82,3.81,0,1.18,0,1.68,0,0,0,0
 84-94,0,0,0,1.34,0,0,0,0,0
 96-106,6.04,0,0,0,0,0,0,6.83,0
108-118,0.53,0,0,0,0,0.42,3.54,0,0
120,14.01,0,0,0,0,0,0,0,0
