stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.2,0,0,6.42,0,0,0,2.94,0.82,0,0,0,2.95,0,0,3.97,9.74,0,0,8.49,5.91,0,0,0,0,0,0,0,0,0,4.64,1.13,43.05,0,0,1.26,0,0
 24-34,0,0,0,8.88,0,0,5.94,0.63,0,0,12.89,0,0,1.31,1.91,9.31,0,0,26.25,53.78,0,0,124.46,38.27,0.83,0,0,0,0,1.39,0,1.52,0.85,7.56,2.46,97.54,0,0,6.05,0,26.28
 36-46,0,0,0,2.83,0,0,3.33,0.65,0,0.73,9.58,0.59,0,5.51,0,2.85,0.65,0,15.5,103.33,0,0,122.05,39.1,0,0,0,0,0,0.65,0,7.04,2.6,25.68,0,122.35,0,0,2.3,0,13.43
 48-58,0,0,0,4.11,0,0,13.01,14,0,0,4.72,0,0,8.92,0,2.66,0,0,1.36,72.45,0.47,1.03,91.47,118.04,0,0,0,0,0,0,0,0,1.07,54.26,0,85.5,0,0,0.52,0,3.93
 60-70,0,0,0,2.05,0,0,6.94,104.35,1.31,6.8,6.51,4.04,0,29.63,0,1.18,0,0,0,41.28,0,0.7,47.15,663.87,0,1.1,0.65,0,0,1.86,0,0,0,65.97,0,48.73,0,7.23,1.57,0,0
 72-82,0,0,0.61,6.17,5.83,0,65.9,400.97,0,2.7,15.42,0.59,0,9.3,0.63,1.05,0,3.04,6.03,146.15,0,9.34,73.03,1781.29,4.45,0,1.59,3.38,0,12.16,0,0,0,193.82,0,40.52,0,0,3.34,5.36,3.97
 84-94,0,0,0,7.48,5.48,0,123.49,997.66,0,0,28,0.64,0,19.79,0,2.89,0,0,2.21,56.02,0,0,90.67,1702.87,0,0,1.48,0,0,10.69,0,0,0.6,519.95,0,55.97,2.5,2.59,4.92,0,0
 96-106,0,0,0,12.48,22.73,2.36,251.06,2567.74,4.27,14.88,75.18,12.84,0.61,16.71,0.87,2.98,3.09,14.82,0,120.62,11.85,6.68,344.1,2557.06,0,1.05,6.7,0,2.93,35.67,2.06,0,3.17,1111.32,0,29.29,1.85,2.2,20.76,9.7,0
108-118,0,0,1,39.01,20.98,3.43,131.21,3424.2,0.63,0,83.88,11.01,0,14.85,0,7.58,0,4.62,6.05,80.74,3.78,8.57,275.75,2768.92,3.18,12.12,6.55,0,0,21.92,0,0,0,1385.06,0,27.32,0,2.14,1.26,0.77,10.22
120,1.19,0,0,42.78,10.97,0,222.73,3127.38,0,16.89,66.82,1.51,0,28.57,4.81,0,1.77,55.15,0,100.56,0,0,267.81,3999.23,0,10.74,0,0,5.08,13.01,0,11.19,0,583.6,0,49.54,0,0,20.35,0,2.6
