stage,epidermis,eye,glial,immune,mesenchyme,mural_cell,neural,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 24-34,0,0,0,0,0,0,0.85,0,0,0,0
 36-46,0,0,0,0,0,0,2.94,0,0,0,0
 48-58,0,0.42,0,0,0.49,3.39,5.35,0,1.48,0,0
 60-70,0,2.27,0,0,1.65,0,26.07,0,0,0,0
 72-82,0,19.63,0,0,3.63,0,2.66,0,0,0.63,0
 84-94,0,17.65,1.19,1.69,0.75,0,9.9,0,0,0.63,0
 96-106,0.8,82.01,0,0,1.33,0,0,5.06,0,0.68,0.67
108-118,0,106.87,0,0,4.37,0,4,0,0,0,0
120,2.59,61.92,5.79,0,0,0,8.35,1.01,4.02,0,0
