stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,24.93,246.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,223.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.65,18.04,7.59,0,0,49.27,0,0,13.56,0,0,0,245.37,0,124.52,0,0,0,0,0,0
 10-12,0,8.6,39.3,0,0,64.84,0,0,3.03,0,0,0,434.25,0,137.9,4.36,11.51,0,3.51,0,0
 14-21,0,0,0,6.22,1.03,0.8,0,0,0,0,0,2.14,48,0,0.94,1.99,0,3.63,9.61,0,0
 24-34,0,0,0,10.31,0,3.38,0.91,0,0,0,2.47,0.7,66.45,0,0,0,0,0.62,9.13,1.45,0
 36-46,0,0,0,2.01,0,8.87,0.65,0,0,0,1.67,0.72,31.54,0,0,0,0,0,10.15,0,1.07
 48-58,0,0,0,0.7,3.66,17.75,4.29,0,0,0,2.74,0.61,20.15,0,0,0,0,0,7.97,0,0
 60-70,0,0,0,0.86,0,13.43,0,0,0,0,1.72,0,8.69,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,6.07,0.67,0,0,0,0.58,0,5.87,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.08,1.46,0,0,0,4.43,0,5.21,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,5.86,0,0.75,0,0.57,1.71,0,0,0.74,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.52,0,0,0,0,0,0.75,3.45,0,0,0,0,0,0,0,0
120,0,0,0,0,0,6.46,1.34,0,0,0,0,0,8.15,0,0,0,0,0,0,8.01,0
