stage,mesenchyme,muscle,neural,olfactory
 48-58,0,0,0,9.22
 60-70,0,0,1.13,53.65
 72-82,7.15,0,0,32.59
 96-106,0,0,0,12.67
108-118,0,0,2.03,14.38
120,4.44,2.44,0,18.98
