stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.63,20.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0
  5-6,17.67,99.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0
  7-9,5.61,0,0,39.79,0,0,0,34.99,0,0,0,0,0,50.63,0,0,0,0,0,0,0,0,0,0,171.25,0,0,0,18.52,0,6.68,0,0,0,0,0,0,0,0,0
 10-12,0,5.11,0,7.03,0,0,0,63.24,0,0,0,0,0,260.14,0,0,0,0,0,0,0,0,0,0,427.03,7.88,0,0,44.78,0,0,0,22.58,0,0,0,0,0,0,0
 14-21,0,0,0,4.64,4.8,19.53,0,25.68,0,0,0,0,0,18.69,0.97,0,0,0,0,4.42,0,15.15,0,4.75,81.66,0,1.55,11.47,0,0,4.1,6.53,0,1.91,1.1,13.36,0,9.34,0,0
 24-34,0,0,0,0,3.39,0,0,31.44,0,0,0,0,0,0,1.3,0,0.63,0,0,1.67,0,27.81,0,15.74,210.91,0,1.92,3.61,0,0,0.64,0,0,0,0,54.92,0,109.12,0,0
 36-46,0,0,0,0,1.58,0,0,21.34,0,0,0,2.33,0,0,2.54,0,8.67,0,0,0,0,11.62,0,7.6,400.76,0,5.33,0,0,0,2.29,0,0,0,0,102.3,0,55.27,0,0
 48-58,0,0,0,0,1.61,0,0,90.72,0,0,2.7,5.19,0,0,3.97,0,0.55,0.41,0.41,0,0,9.33,0.44,7.03,775.2,0,4.61,0,0,0,0.39,0,0,0,0,91.63,0,64.79,0,0
 60-70,0,0,0,0,9.07,0,0,635.99,0,0,0,14.45,3.45,0,2.5,0,0,0.98,0,0,0,23.21,0,4.87,1668.28,7.37,1.16,0,0,0.66,6.9,0,0.64,0,0,136.23,0,36.58,0,3.07
 72-82,0,0,1.93,0,7.43,0.59,3.6,813.17,0,0,2.33,18.31,2.81,0,1.06,1.66,0,0,0,0.79,0,50.5,0.62,16.08,1377.86,6,10.16,0,0,0,5.55,0,0.73,0,0,100,1.35,62.05,0.76,9.24
 84-94,0,0,1.16,0,18.81,0,3.54,518.3,0.98,0.66,6.56,30.42,7.26,0,2.94,2.43,0,11.27,0,8.46,3.63,44.92,0.63,2.31,894.9,0,0.76,0,0,0,3.74,0,0,0,0,77.93,4.29,52.8,1.73,0
 96-106,0,0,0,0,13.11,11.2,8.7,422.74,0,0,2.67,33.92,1.47,0,8.29,1.3,0,0,0,0,2.25,23.66,9.99,1.96,902.21,0.62,1.79,2.15,0,0,3.32,0,0,0,0,37.69,0,90.51,6.61,5.49
108-118,0,0,0,0,14.36,14.25,31.01,432.71,0,0,0,14.84,1.96,0,2.07,1.22,0.74,0,0,1.02,0,23.05,6.84,4.28,1137.49,0,6.19,0,0,2.83,0,0,0,0,0,35.63,0.84,58.77,0,0
120,0,0,0,0,32.75,3.49,16.7,357.18,0,0,0,35.76,8.09,0,4.69,0,0,0,0,9.89,0,42.09,4.73,2.28,2074.32,0,1.29,0,0,0,2.87,0,0,0,0,35.95,0,101.17,6.81,0
