stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.12,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.74,35.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0
  7-9,10.89,0,0,5.11,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,43.04,0,0,0,20.49,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,0,0,0,0,0,0,0,0,16.09,0,0,0,0,0,0,0,0,0,0,19.54,0,0,0,4.58,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,5.82,0,0,0,0,0,0,3.05,1.28,0,0,0,0,0
 24-34,0,0,0,0.7,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,2.09,0,0,3.27,15.95,0.63,1.25,0,0,5.88,0,0,7.87,0,0,0.85,0,0
 36-46,0,0,0,0,1.27,0,0,10.44,0,0,0,1.19,0,0,0,0,0,0,0,0,5.78,1.35,0,0,22.22,0,0.79,0,0,11.86,0,0,8.3,0,0,0,0,0
 48-58,0,0,0,0,3.19,0,0,11.86,0.67,2.98,0,0.41,0,0,0,0,0,0,0,0.4,11.94,0,0,0.67,78.71,0,1.06,0.64,0,26.51,0,0,19.69,0,0,6.77,0,2.91
 60-70,0,0,0,0,10.07,0,0,22.71,0,6.89,0.84,3.37,0,0,0,0,0,0,0,0,7.33,0,0,14.71,99.5,1.31,0,0,0,25.82,0,0,8.05,0,0,0,0,0
 72-82,0,0,0,0,6.92,3.67,0,36.94,1.21,0,1.22,0,0,0.59,0,0,0.64,0,0,0,20.63,0.92,0.81,3.77,141.09,0,0,0,0,24.87,2.66,0,11.14,0,0,0,0,0
 84-94,0,0,0.73,0,1.28,0,0,20.24,0.56,0,1.26,0,0,0.77,0,0,0,0,0,3.35,12.43,0,0,1.19,27.97,0,0,0,0,30.43,0,0,1.33,0,1.32,0,0,0
 96-106,0,0,0,0,8.5,0,0,10.59,0,2.28,0,1.64,2.77,0,0,1.25,0,0,0,0,11.68,1.66,0,1.09,49.09,0,1.51,1.17,0,24.91,0,0,6.32,1.89,0,2.44,0.88,8.86
108-118,0,0,0,1.06,3.02,0,0,19.79,0,0.6,0,6.44,1.8,0,0.5,0.71,0,0.69,0.43,0,6.9,0,0,4.33,51.23,0,0,0.69,0,28.22,0,0,0.8,2.76,0,2.52,0,0
120,0,0,0,0,13.69,0,2.35,14.53,0,0,0,26.7,4.69,0,0,3.24,0,0,2.12,0,5.58,0,0,10.12,65.84,0,0,0,0,32.82,0,0,0,0,0,5.84,0,0
