stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0
  5-6,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.32,0,1.05,0,0,0,0,0,0,0.9,0,0,0.88,0,0,0,0,0
 24-34,0,0.66,1.86,2.34,0,0,1.29,0,0,0,0,0,0.64,4.49,0,0,0.7,1.81,0
 36-46,0,0,0,2.38,0,1.02,0,0,0,10.49,1,0,0,0.65,0,0,0.62,0,0
 48-58,0,0.54,0,10.93,0,0,0,0.57,0,0,0,0.51,0,8.01,0.44,2.13,0,0,0
 60-70,0,0,0,0,0,0,7.79,0,0,0,0,0,0,5.21,0,0,0,0,0
 72-82,0,0.68,0,0.52,0,0,0,0,0,0,0.98,0.91,0,12.53,0,0,0,3.21,0
 84-94,0,0,0,1.63,3.09,0,0,0,0.77,0,2.73,2.92,0,3.79,0,0,0,0,0.77
 96-106,0,1.15,0,0,0,0,1.96,0,0,0,3.65,0,0,9.04,0,0,0,0,0
108-118,0,0,0,0,0,0,0.74,0,0.71,0,1.11,0.98,0,0,0,0,0,0,0.82
120,0,0,0,0,0,0,1.62,0,0,0,0,0,0,2.82,0,0,0,0,0
