stage,blastomeres,endoderm,epidermis,eye,glial,gut,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,spinal_cord,taste
  3-4,35.21,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.34,0,0,0,0,0,0,0,21.28,0,0,0,0
 14-21,0,0,1.35,0,0,0,0.86,0,0.85,0,0,1.66,5.24,0
 24-34,0,0,1.63,0,0,0,0,0,0,0,0.8,0,3.36,0
 36-46,0,0,0.63,0,0,0,0,0,0,0.78,0,0,0.73,0
 60-70,0,0,0,3.96,0,0,0,0,0,0,0,0,2.85,0
 72-82,0,0,1.87,1.97,0,0,0,2.53,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.77,0,9.81,0,0,0,0,0,0
 96-106,0,0,0,2.5,2.11,0,0,1.4,0,0,0,0,0,4.54
108-118,0,0,0,0,0,3.97,0,0,0,0,1.8,0,0,0
120,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0
