stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,49.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.12,0,0,0,0,0,0,0,0,0,0,0,12.32,0,0,0,7.53,0,0,0,0,0,0
 10-12,0,0,0,3.13,0,0,0,0,0,0,0,0,0,17.79,0,0,0,9.2,0,0,0,0,0,0
 14-21,0,0,1.54,0,0,0,0,0,0,0,0,1.28,0,1.72,0,0,0,0,0,0,0,1.18,0,0
 24-34,0,0,4.25,2.54,0.9,0,0,0,0,0,0,0,0.98,13.75,0.67,0,0,0,0,0,0.62,1.08,0,0
 36-46,0,0,0.65,0.64,0,0,1.12,0,0,0,0,1.13,1,12.52,0,0,5.19,0,1.79,0.6,0,4.36,0,0
 48-58,0,0,9.28,6.92,0.51,0.42,8.03,0,0,0,0,9.76,0,15.38,0,0,0.82,0,2.02,0,0,1.38,0,0
 60-70,0,0,13.52,12.14,0.68,1.2,20.13,0.81,0,0,0,29.93,0,26.1,0,0,0.83,0,2.94,0,0,4.37,0,0
 72-82,0,0,6.82,6.81,0,0.6,10.5,0.66,0.66,0,0,41.22,0,20.72,0,1.2,2.64,0,0.95,0.64,0,3.84,0,0
 84-94,0,0,13.7,4.4,0.63,0,0,4.52,0.61,0,0.59,38.44,0,16.64,0,0,10.13,0,1.79,0.76,0,0,1.17,0
 96-106,0,0,10.06,3.8,0.73,0.96,1.17,0.56,0,0.62,0,31.56,0,3.65,0,0,8.99,0,0,0,0,0,0.81,0
108-118,0,0,7.18,2.05,0.98,1.52,3.82,0.6,0.6,0.48,1.94,29.57,0,15.13,0,0,9.87,0,1.48,0.42,0,0,0,1.44
120,0,0,2.78,0,2.41,0,12.52,2.55,0,4.16,0,42.34,0,83.07,2.01,0,1.51,0,0,0,0,0,0,0
