stage,blastomeres,epidermis,eye,glial,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,15.74,0,0,0,0,0,0
 10-12,14.71,0,0,0,0,0,0,0,0,91.3,3.27,0,0,0,0,0,0,0,0,0
 14-21,0,4.74,0,0,0.81,0,0,0,0,9.14,0,0,0,0,0,1.25,2.31,1.59,0,0
 24-34,0,0.82,1.34,0,0,0,0,0,1.56,14.68,0,0.69,2.06,0,0,0,0,3.12,0,0
 36-46,0,1.5,1.74,0,0,0,0.73,0,0,20.84,0,0,0.72,0,1.52,0,0,7.22,0,0
 48-58,0,0.54,3.28,0,0,0,0.69,0.82,0,19.91,0,1.15,0,0,0,0,0,6.61,0,0
 60-70,0,0.94,7.71,0,0,0,0.7,0,0,6.4,0,1.09,0,0,0,0,0,2.54,0,0
 72-82,0,1.66,0,0,0,0,0.89,0,0,7.74,0,0,0,0,0,0,0,6.35,0,0
 84-94,0,2.7,3.71,0,0,0,2.25,0,0,13.29,0,0,0,0,0,0,0,0,0.78,0
 96-106,0,0,1.46,0,0,0.93,0,0,0,4.54,0,1.18,0,0,0,0,0,0,0,1.4
108-118,0,1.08,4.92,1.07,0,0,2.07,0,0.48,3.56,0,0,0,0,0,0,0,0,0,0.6
