stage,epidermis,fin_epithelia,heart,ionocyte,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,10.32,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.29,0,0,0
 14-21,0,0,0,0,0,0,1.02,0,0,0,0,0
 24-34,0.59,0,0,0,0,0,0,0,0,0.75,0.61,0
 36-46,0,0,0,0,0,0,0,1.97,0,9.97,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.39,0.88,0
 60-70,0,0,0,0.58,0.72,2.44,0,0,0,2.02,0,0
 72-82,0,0,0,0,0.62,0,0,1.1,0,0.75,0,0
 84-94,0,0.58,0,0,0,2.12,0,0,0,9.85,0,0
 96-106,0,0,0.62,0,0,0.81,0,3.03,0,4.96,2.6,0.78
108-118,0,0,0,0,0,0,0,0.48,0,5.08,0,0
120,0,0,0,0,0,0,0,0,0,2.81,0,0
