stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,189.18,1500.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.03,0,0,0,0,0,0,0,0,0,0
  5-6,62.01,866.34,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,7.94,0,0,12.73,0,14.25,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,23.14,0,44.29,0,0,0,9.37,0,0,0,0,0,84.06,0,0,0,0,0,0,0,0,0,0,244.99,18.75,0,0,89.87,0,0,18.93,0,0,0,0,0,0,0,0,0
 10-12,3.8,6.14,0,106.09,0,0,0,38.17,0,0,0,0,0,152.28,0,0,0,0,0,0,0,0,0,0,637.73,18.06,0,0,55.31,0,16.13,9.77,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,26.82,444.75,9.16,0,12,0,2.87,0,1.5,40.04,8.59,5.96,0,3.56,0,0.84,7.28,19.07,3.24,0,2.87,143.74,95.53,0.85,19.88,6.3,0,167.85,0,3.53,8.91,4.12,42.37,0,0,7.01,0,0
 24-34,0,0,2.98,8.93,210.64,1.57,0,30.22,0,36.02,0,6.73,1.18,3.98,13.85,0,10.1,0,0.63,13.51,46.08,7.43,2.33,14.03,227.57,16.63,7.84,24.36,0,0,417.05,0,0,12.11,0.84,34.02,0,0,158.04,0,0
 36-46,0,0,2.45,1.94,89.1,0.67,0,67.88,0,49.08,0.8,18.85,9.46,1.34,26.42,0,3.78,0,3.25,17.37,73.05,12.18,9.74,26.73,233.88,13.45,9.9,24.77,0,0,540.8,0.73,0,12.25,0,25.74,0,3.16,115.2,0,3.24
 48-58,0,0,0.39,0,103.08,0,0,79.96,0,45.99,0,62.23,8.02,8.6,12.92,0,4.58,0,3.98,11.54,123.18,14.01,18.38,19.06,218.54,1.84,4.8,19.34,0,1.18,322.09,0,0,13.18,0,42.38,0,5.08,104.76,0,0
 60-70,0,0,0,0,83.75,0.6,0,43.33,0,39.27,1.77,169.88,30.83,4.75,25.84,8.31,4.69,1.2,2.25,3.53,256.77,14.27,9.06,19.97,169.01,10.03,7.99,30.14,0,7.6,315.8,0,0,20.87,0,33.82,0.61,19.5,52.87,5.74,0
 72-82,0,0,3.8,0,57.85,2.29,0,61.19,0,20.31,8.3,129.95,27.42,2.16,15.08,7.23,9.49,0,9.22,4.53,422.44,23.01,31.49,25.11,165.06,0.63,3.35,24.4,0,32.16,182.57,0,0,16.86,0,24.21,0,19.57,93.67,19.84,0
 84-94,0,0,6.55,1.99,105.15,0.57,0.87,98.24,0,43.84,8.52,92.52,43.13,11.56,9.62,2.14,12.87,1.68,4.81,5.44,456.75,45.32,42.58,21.83,122.74,3.02,14.24,19.51,0,4.97,498,0,0,18.53,0,19.65,4.97,31.72,134.75,30.86,0
 96-106,0,0,5.54,1.89,97.19,3.04,0,71.9,0,44.99,6.77,113.62,81.41,0,17.34,2.24,19.03,10.17,7.26,16.01,430.04,24.94,23.75,24.93,136.79,3.41,14.93,31.33,0,18.69,451.64,0,0,5.8,0,10.27,3.65,22.36,114.22,36.97,0.8
108-118,0,0,2.1,0,87.11,2.8,0,79.56,5.25,51.7,2.59,92.65,44.85,2.74,8.64,5.95,19.35,15.8,5.63,14.2,535.74,54.07,36.87,12.89,133.78,3.33,13.76,38.34,0,24.3,244.05,0,0,8.06,0,3.14,2.7,16.67,87.22,23.9,0
120,0,0,3.89,0,123.6,8.17,0,43.38,0,17.03,4.8,127.73,83.92,0,0,9.83,24.66,19.65,9.15,15.42,478.85,27.99,102.46,23.95,145.41,0,20.29,56.23,0,34.67,189.91,0,0,14.73,0,41.74,5.36,53.3,126.52,61.56,0
