stage,erythrocytes,eye,fin_epithelia,glial,liver,mesenchyme,neural,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
 14-21,0,0,0,0,0,0,0,0,1.11,0,0.99,0
 24-34,0,0.97,0,0,0,0,8.79,0,0,0,0,0
 36-46,0,0.69,0,0,0,0,5.01,3.15,0,0,0,0
 48-58,0,0,0,0.48,0.39,0.58,0,0,0,0,0,0
 60-70,0.61,0.92,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.63,0.88,0,0,0,0,0
 84-94,0,0,0,2.33,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.7,0,7.87
108-118,0,0.68,0,0.79,0.52,0,0,0,0,0,0,0
120,0,0,4.94,12.94,0,5.07,0,0,0,0,0,0
