stage,epidermis,eye,glial,gut,heart,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal_cord
 14-21,1.19,0,0,0,0,0,0,0.81,1.03,0,0,0,1.05,2.14
 24-34,0,0,0,0,0,0,0,0.66,0.92,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.99,0,0.57,0,0,0,0,0.97
 48-58,0,1.62,0,0,0,0,0.39,0,4.2,0.91,0,0,0,1.72
 60-70,0,0,2.1,0.62,0,0,0.83,0,1.29,0,0,0,0,1.19
 72-82,0,0.54,0.86,0,0,0,0.61,0,4.06,0,1.48,0,0,5.34
 84-94,2.29,0.57,0,0,0,0,0,0,9.36,0,0,0.58,0,0
 96-106,0,0,0,0,0.61,0,0,0,1.95,0,0,0,0,0
108-118,0,10.88,0,0,0,0,0.83,0,0.64,0,0,0,0,0
120,0,0,0,0,0,4.16,0,0,27.89,0,0,0,0,0
