stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,84.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,4.23,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.24,0,0,0,0,0,0,0,0
 14-21,0,0,9.64,3.32,0.9,0,0,0,0,12.3,0,0,0,0,0,1.13,0,2.12,19.52,1.71,0,0,0,0,0,0,1.14,25.95,1.23,6.28,0
 24-34,0,0,9.04,1.32,0,0,0.77,0,0,13.58,0,0,0,0,2.87,2.95,0,1.43,12.95,0,0.78,0,0,0,0,0,0,70,3.57,2.86,0
 36-46,0,0.98,0.96,0,0,0,2.8,0,0,0.95,0,0,0,0,0,2.77,0,0,55.48,0,1.85,0,0,0,3.48,0,0,36.31,1.18,10.74,3.95
 48-58,0,0,0,0,0,0,17.68,0,0.62,0,0,0,0,0,0,1.42,0,0.42,32.27,0,0,0,0,0,4.05,0,0,35.45,0,3.35,0
 60-70,0,0,0,0,0,0,52.02,0,0,0,0,0,0,0,3.74,0.76,0,0,26.54,0,1.15,0,0,0,3.66,0,0,23.68,0,2.96,0
 72-82,0,0,0,3.07,0,0,104.27,0,5.31,0,0.59,0,0,1.9,1.21,3.77,0,0,25.96,0,1.62,0,0,1.03,0,0,0,22.85,0,6.9,0
 84-94,0,0,0,5.81,0,0,249.63,0,7.9,2.96,0,0.8,0,0,2.45,5.98,0,0,20.12,0,0,0,0,0,3.08,2.8,0,71.09,0,0,0
 96-106,0,0.81,0,4.11,0,0.94,346.39,0,11.22,1.16,0,0,3.66,0,5.67,10.98,1.95,0,23.52,0.81,1.51,0,0,1.04,3.27,0,0,73.11,0,0,0
108-118,0,0,2.63,3.78,1.83,1.86,373.84,0.53,14.26,4.37,0,0,0,0,14.74,1.22,0,1.31,35.93,0.67,0,1.41,0,1.65,1.69,0,0,66.5,0,2.78,0
120,0,0,0,0,0,0,200.88,0,13.53,1.92,0,0,0,0,24.92,0,0,0,0,0,0,0,0,0,0,0,0,55.05,0,0,0
