stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,22.6,960.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0
  5-6,105.19,2069.17,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.19,0,0,0,0,46.54,0,0,0,0,0,0,0
  7-9,45.03,61.86,0,63.07,0,0,127.79,0,0,0,78.7,0,0,0,0,0,0,0,0,0,1310.84,17.84,0,0,341.97,3.28,0,0,0,0,0,0,0
 10-12,0,13.31,0,50.23,0,5.97,56.92,0,0,0,33.02,0,0,0,0,0,0,0,0,0,626.9,14.96,0,0,161.03,0,0,18.57,0,9.11,0,0,0
 14-21,0,0,0,0,3.42,0,1.1,0,0,0.89,0,0,0,0,0,0,0,1.52,0,0,13.32,0.82,0,0,0,0,5.22,0,0,2.1,0.88,0,0
 24-34,0,0,0,0,0,0.81,1.5,0,0,0.67,0,0,0,0,0,0,0,2.86,0,0,27.7,0,0,0,0,0.83,0,0,0,0,6.75,2.31,0
 36-46,0,0,0,0,5.81,0,8.33,0,0,0,0,0,0,0,0,0,0,11.09,0,0.8,43.42,0,0,0,0,7.55,0,0,0,0,5.38,0,0
 48-58,0,0,0,0,1.29,0,10.85,0,0,0.84,0,1.83,0,0.55,0,0.41,0,6.49,1.67,1.25,30.22,0,0,0,0,0.81,0,0,0,0,2.55,4.75,0
 60-70,0,0,0,0,0.68,0,25.76,0.63,0,3.05,0,0,0,1.31,0,0,0,5.54,0,0,12.18,0,0,0,0,10.69,0,0,0,0,0,0,0
 72-82,0,0,0.54,0,0,0,6.83,0,0,2.09,0,0,2.96,0,4.47,1,0,7.4,0,1.13,25.28,0,0,0,0,2.18,0,0,0.55,0,0.61,0,0
 84-94,0,0,0,1,0.65,0.83,14.99,0,0,0,0,0,0,0,0,0,1.37,5.2,0,0,10.3,0,0,0,0,5.66,0,0,0,0,1.48,0,0
 96-106,0,0,0,0,2.31,0,15.84,0,0.82,1.19,0,0.61,0,0,0,0.84,0,7.7,0,1.4,10.57,0,1.75,1.23,0,5.96,0,0,0,0,1.07,0,0
108-118,0,0,0,0,3.24,0,2.55,0,0,2.79,0,0,0,0,0,0,0,6.97,0,0,14.66,0,5.05,3.13,0,2.3,0,0,0,0,1.79,0,0.83
120,0,0,0,0,0,14.73,26.26,0,0,0,0,0,0,0,0,0,0,0,0,2.79,5.32,0,0,3.28,0,2.17,0,0,0,0,0,0,0
