stage,endoderm,epidermis,eye,glial,ionocyte,mesenchyme,neural,olfactory,otic,periderm,spinal_cord
 14-21,1.03,0,0,0,0,0,12.23,0,6.38,2.03,1.43
 24-34,0,1.62,1.87,0,0,0,46.25,0,31.28,0,21.56
 36-46,0,0,0.76,9.41,0,2.16,67.28,0,19.66,0,7.58
 48-58,0,0,5.67,8.41,0,1.5,64.05,0,11.28,0,8.92
 60-70,0,0,1.68,23.21,0.61,1.21,86.18,0,3.25,0,0
 72-82,0,0,7.63,38.33,0,0.53,62.11,0,5.03,0,0
 84-94,0,0,7.02,22.97,0,2.15,45.88,0,6.8,0,7.75
 96-106,0,2.52,4.02,13.95,0,0,20.8,0.71,8.6,1.34,0
108-118,0,2.3,1.37,10.16,0,0.93,45.59,0,14.32,0,0
120,0,0,0,121.13,0,0,59.59,0,28.72,0,0
