stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,25.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,9.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,10.29,1.15,0,0,0,0,0,0,0,3.03,0,0,0.84,0,383.37
 24-34,0,0,0.6,0,29.19,0,0.71,0,0.77,0,0,0,3.08,0,0,2.16,4.72,0,0,6.39,82.01,0.73,0,0,0,2.91,3.17,0,2,9.6,17.85,0,3.61,0,2526.48
 36-46,0,0,0,0,8.63,4.42,0,0.57,0,0,0,0,0.57,0,7.21,0,1.54,0,0,1.39,45.32,0.57,1.39,0,0,0,2.84,9.09,0,0,5.63,0,1.91,0,3135.36
 48-58,0,0,0,0,11.05,0,0,0.78,3.47,0,0,0,18.29,0,0,0,7.3,0,0,2.98,40.56,7.22,0,0,0,0,12.51,2.86,0,0,6.69,0,0,0,4008.52
 60-70,0,0,2.56,0,0.91,0.69,0,0,0,0.85,0,11.51,1.63,0,0,0,5.59,0,0,0,12.3,0,0,0,0,0,9.54,0,0,0,4.73,0,2.56,0,3103.26
 72-82,0,0,0.55,0,29,0,0.66,2.19,0.7,0,0,0,23.3,0,3.31,6.61,5.51,0,0,10.05,13.8,0,0,1.04,0,0,11.77,0,0,0,0,0,4.72,0,2425.21
 84-94,0,0,1.75,9.8,50.37,0,0,0,0,0,0,0,18.19,0,0,0,6.16,0,0,0,11.8,0,0,0,0,0,11.82,0.6,0,0,0,0.78,0,0,2144.14
 96-106,0,0,4.06,0,50.77,0,3.79,0,10.6,2.07,0,2.42,4.78,1.32,0.97,0,8.6,0,2.02,1.28,31.29,0,0,0,0,0,8.87,0,0,0,0,0,6.8,1.15,2352.22
108-118,0,0,3.3,3.02,27.88,0,0,0,4.38,0,1.36,0.63,0.43,0,4.51,0,6.88,1.15,0,0.58,22.24,0,1.57,0,0,0,11.17,0,0,0,0,0,0,0,2334.21
120,0,0,1.32,0,18.13,0,0,0,2.08,0,0,0,1.56,2.64,1.58,0,3.25,0,0,0,8.92,0,0,0,0,0,6.7,0,0,0,0,0,0,0,805.84
