stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,16.57,1046.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.62,219.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,16.31,0,0,0,4.35,0,0,0,0,36.32,12.63,0,15.92,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.52,0,3.31,0,0,0,0,0,0,1.01,0.88,1.96,1.62,0,0,8.7,36.65,2.08,0,0
 24-34,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,4.42,0,0,0,0,3.21,0,0,0
 36-46,0,0,0,0,0.73,0.7,0.75,0.76,0,0,1.47,0,0,0,4.84,0,2.11,0,0,0,3.75,0,0.7
 48-58,0,0,0,0,0,0,0.43,1.04,0,0,0,0,0.84,0.45,13.84,0,0.97,0,0,0,2.3,0,0
 60-70,0,0,0,0,0,13.05,0,0,0,0,0,0,1.07,0,1.21,0,0.9,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.07,0,0,0,0,0,0,0.7,0,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0
 96-106,0,0,0.88,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.64,0,0,1.13,2.6,0,0.46,0.56,0,0,0,0,0,0,0
120,0,0,0,1.27,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
