stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,23.36,116.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,295.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,10.72,0,0,0,0,0,0,0,0
  7-9,4.36,8.21,3.72,0,0,6.76,0,0,0,6.32,0,0,0,0,0,0,142.76,13.09,0,30.45,0,0,0,0,0,0
 10-12,0,19.23,0,0,0,9.38,0,0,0,0,0,0,0,0,0,0,78,5.66,0,19.33,0,0,0,0,0,0
 14-21,0,0,0,1.05,0,0.9,0,0,0,0,0,0,0,0,0.88,0.87,12.73,0.82,0,0.95,0,2.8,1.01,4.54,0,0
 24-34,0,0,0.59,0,0,0.81,0,0,0,0,0,0,0,0,0.88,1.64,16.14,0,0.82,0,0.97,0,0,0.71,0,2.15
 36-46,0,0,0,0,0,4.03,0,0,2.12,0,0,0,0,0,2.84,0,19.63,0,0,0,4.59,0,0,3.3,0,0
 48-58,0,0,0,0.41,0,5.29,0,0,5,0,0.6,1.14,0,0,0.49,0,6.21,0,0.42,0,1.52,0,0,0.43,0,0.96
 60-70,0,0,0,0,0,2.29,0,0,0.84,0,0,0,0,0,4.94,0.68,1.81,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.72,0,9.42,0,0,5.14,0,0,0,0,0,3.09,0,0.51,0,0,0,0,0,0,0,0,0.72
 84-94,0,0,0,0,1.24,1.24,0,0,2.81,0,0,0,0,0.72,0.6,0,4.76,0,0,0,0.82,0,0,0,0,0
 96-106,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,1.37,0,0.8,0,0,0,0,0,0,0,0,1.23
108-118,0,0,0,0.88,0,1.41,0.46,0.42,1.52,0,0,0,0.62,0,2.98,0.42,0,0,0,0,0,0,0,0,3.84,0
