stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,53.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,0,0,0,8.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43,6.39,0,0,7.34,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97,1.13,0,0,0,0,0,0,4.81,3.97,0,0,0,0,0
 24-34,0,0,3.51,0,0,0,0,0,0,0,0,5.61,0,0,0,0.62,0,2.41,2.33,0,1.35,17.41,0,0,0.62,0,0,4.71,0,0.61,6.36,0,0,0,0,0
 36-46,0,0,0,0,0,2.06,0,0,0,1.93,0,14.74,0,0,0,18.93,0,2.47,0,0,0,13.95,0,0,0,0,0,5.56,0,0,4.85,0,0,0.87,0,0
 48-58,0,0,0,0,0,7.31,0,0,0.74,0,0,30.8,0,0,0,122.07,0,5.61,0,0,0.63,37.94,4.98,0,0,0,0,6.79,0,0,6.68,0,0,1.81,0,0
 60-70,0,0,0,0,0,21.06,3.81,0,0.79,0,0,44.52,1.08,0.57,1.96,234.29,0,12.23,0,0.69,0.74,26.03,0,0.58,0,0,0,4.68,0,0,5.16,0,0,1.49,0,0
 72-82,0,0.58,1.25,1.02,0,41.07,0,0,7.26,3.97,1.53,54.36,0,0.73,0,530.95,0,14.64,0.78,0,0.71,75.88,0,1.28,4.65,0,0,2.92,0,0,3.34,0,0.83,1.77,1.19,6.64
 84-94,0,1.19,4.49,0,0,43.81,0,0.91,9.64,3.02,0,66.95,0,1.37,0,2071.69,0,20.32,0,0.58,3.86,120.64,5.65,0,0,0,0,9.4,0.94,0,6.23,0,0,0.57,5.02,0
 96-106,0,3.03,6.97,32.05,2.18,129.78,1.19,6,22.3,17.24,0,69.72,2.06,1.9,2.07,2741.18,0,40.97,0,5.98,8.7,310.65,0,7.4,4.75,0,2.45,21.74,0,0,0,3.17,6.48,13.26,0,0
108-118,0,0.52,13.85,9.25,0.59,86.36,2.03,0.56,19.26,6.69,0.83,75.46,2.33,0,1.43,4778.21,4.19,30.39,0.54,1.58,5.35,279.29,0.68,0,0.91,0,0,12.18,1.54,0,16.83,0,0,4.96,0,4.99
120,0,0,2.17,1.63,0,21.87,0,0,14.17,23.31,0,68.6,1.72,5.74,0,2082.56,0,13.23,0,0,0,147.9,0,0,0,0,0,2.3,0,0,0,0,3.8,6.21,0,0
