stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,2274.6,7599.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861.58,0,0,0,0,0,0,0,0,0,0,0
  5-6,1977.7,5571.85,32.85,0,0,0,0,0,0,0,232.32,0,0,0,0,0,0,0,0,0,0,0,463.99,502.42,0,0,313.85,769.12,0,0,0,0,0,0,0,0,0,0,0
  7-9,604.49,208.7,165.84,0,0,29.06,0,0,0,0,259.62,0,0,0,0,0,0,0,0,0,0,0,4641.84,3121.17,0,0,10215.27,80.58,35,0,0,0,0,0,0,0,0,0,0
 10-12,0,402.9,744.1,0,35.85,110.58,0,0,0,0,11.64,0,0,0,0,0,5.32,0,0,0,0,0,12523.96,1444.85,0,0,13441.82,0,19.81,43.15,159.81,0,49.78,6.57,0,0,0,0,0
 14-21,0,0,2.01,162.45,5.09,90.07,4.2,0,13.89,21.23,0,18.17,0,10.89,0,0,0,0,165.97,2.2,0,258.67,2931.85,870.18,0,11.58,3722.46,5.4,0,612.74,2.33,1.34,2108.65,2350.7,0,0,0,0,0
 24-34,0,0,0,121.9,0,328.26,162.1,1.93,25.34,0,0,0,0,3.02,0,0,0,0,49.58,3.79,0,188.65,1898.45,51.8,11.1,45.53,0,6.44,0,1.53,6.25,0,148.07,148.8,0,0,5.71,0,0.7
 36-46,0,0,0,62.23,0,248.76,181.82,0.82,43.37,0,0,3.85,0,1.57,0,0,0,0,43.76,0,0,28.43,780.57,2.89,1.3,35.56,0,0,0,0,0,0,0,83.06,0,0,1.8,0,0
 48-58,0,0,0,46.56,0,278.13,249.98,1.46,14.45,0,0.69,0,0,0,0,0.78,0,0,33.53,0,0,29.69,372.96,0,2.64,12.52,0,0,0,0,0,1.24,0,33.06,0,0,0,0,0
 60-70,0,0,0,32.92,0,108.08,261.1,3.57,37.86,0,0,0,0,0,0,0,0,0,22.82,0,2.71,17.78,190.98,0,10.71,11.41,0,13.77,0,0,0,0,0,27.06,0,0.73,0,0,0
 72-82,0,0,0,41.38,0,54.23,229.98,2.2,70.34,1.31,0,0,0,0,1.62,0.95,0,1.88,33.83,0,0.63,79.3,183.42,0,7.77,23.53,0,0.6,0,0,0,0,0,38.73,0,0,0,0.67,0
 84-94,0,0,0,57.31,0,42.86,372.59,0,50.58,0.61,0,0,0,0,0,0,0,0,23.19,0,6.72,30.32,94.82,0,1.56,16.77,0,1.49,0,0,0,0,0,10.03,0.83,0,0,1.66,0
 96-106,0,0,0.8,59.63,0,35.3,361.98,2.22,101.43,0.62,0,0,0.91,2.25,0,1.11,0,0,33.6,0.63,0,44.68,123.37,0.62,11.22,9.69,0,0.61,0,0,0,0,0,12.18,0,1.88,0,8.6,0
108-118,0,0,0.49,83.92,1.59,43.14,513.98,4.55,138.28,1.31,0,0,0,6.56,0,1.43,0,0,52.17,0.43,0,26.31,174.92,0,11.85,21.41,0,2.68,0,0,0,0,0,12.97,0,0.43,0,2.8,0
120,1.12,0,0,35.46,0,43,418.57,6.89,114.14,0,0,0,0,0,0,0,4.74,0,40.61,0,0,28.37,248.35,0,1.46,21.73,0,1.57,0,0,0,0,0,14.05,0,0,0,0,0
