stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,10.62,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.19,0,0,0,0,0
 14-21,0,0,3.57,0,0,2.87,1,0,0,0,0,0,0,0,0,0,35.17,0,0,0,0,0,1.66,24.99,0,0
 24-34,0,0.67,1.71,0,1.95,2.64,0,0,0,0,0,51.12,0,1.46,0,0,18.95,0.67,0,0,0,0,0,10.92,0.78,0
 36-46,0,0,17.18,0,1.8,0,0,0,0,0,0.57,37.64,0,1.5,0,6.51,21.01,0,0,0,0,8.09,0,3.45,1.56,0.72
 48-58,0,0,1.02,14.73,4.81,1.83,0,1.7,0,0,3.72,11.77,3.39,3.37,0,0.74,17.16,0,0.83,0,0,0,0,2.21,0,8.78
 60-70,0,0,0.75,1.08,16.91,5.7,0,0,0,0,2.56,54.95,4.02,7.94,1.04,0,53.2,0.62,0,0.86,0,0,0,1.98,0,7.97
 72-82,0,0,0,0,9.46,16.11,0.76,0,0.7,0,3.1,46.95,2.66,6.3,1.12,0.73,25.59,0.66,0,0,0,1.67,0,1.35,0,0
 84-94,0,0.66,3.32,0,11.27,12.85,0.6,0,0,0.75,0.7,27.69,6.79,6.27,4.62,0,20.68,0,0,1.75,0,0,1.93,4.53,0,0
 96-106,0,0.88,5.8,3.22,2.19,6.12,7.45,0,0,0,3.02,137.4,1.33,60.37,1.13,0,50.94,1.28,0.6,0,0,3.16,0,5.09,1.6,0
108-118,0,0,0,0,2.73,4.28,0,0,0,0,6.4,103.2,1.1,7.3,1.96,0,16.92,0,0,3.17,0,0.85,0,0,0,0
120,0,0,4.48,8.83,0,10.03,0,0,0,0,0,44.43,0,0,0,0,44.19,0,0,1.61,0,20.04,0,0,0,6.17
