stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,59.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,9.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,9.39,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0.92,2.15,0,0,0,0,0,0,0,5.56,0,0,0,0,0
 24-34,0,0.66,0,1.82,0,0,7.21,0,0,0,0,0,0,0,0,0,0,36.41,0,2.76,0,0,0,6.99,1.54,0,0,0,0,0,0,0.83,2.81,0,0,0,0,0
 36-46,0,0,0,0,0,0,6.59,0,0,0,0.74,0,0,0,0,0,0,87.38,0,4.12,0,0,0.75,6.62,0,0.61,0,0,0,1.24,0,0,1.22,0,0,0,0,0
 48-58,0,0,0,0,0,0,22.33,0,0,0,0,0,0,0,0,0,0,100.31,0,4.84,0,0,0.72,14.03,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0
 60-70,0,0,0,0,0,0,29.67,0,0,0,0,0,1.53,0,0,0,0,142.3,0,14.53,0,0,1.37,18,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0
 72-82,0,0.95,3.76,1.7,5.13,0,17.19,0,1.03,0.91,0,0,0,0,0,0,0,227.52,0,41.24,1.59,0,0,25.83,0,0,0,0,0,0,0,0,0,1.36,0.73,0,3.84,7.89
 84-94,0,2.56,2.17,0.58,4.01,0,28.55,0,0,0,0,0,0,0,0,0,0,500.6,0,59.4,0,0,4.18,15.67,0,0,0,0,0,3.19,0,0,0,1.68,0,0,0,0
 96-106,0,4.13,0.99,7.9,33.05,0.71,73.72,1.7,0.64,13.79,1.19,0,0,1.4,2.67,0.76,1.4,1521.18,0,129.09,0,1.85,2.72,198.14,0,0.84,1.66,0,2.69,10.87,0,0,1.89,0,1.93,4.04,2.75,0
108-118,0,0,0.66,3.34,8.06,0.46,64.93,6.11,1.28,15.27,4.04,0,0,2.3,0,0.5,1.31,3955.38,0.76,221.28,0.53,7.07,0.75,189.09,4.26,0,0.94,0,0,8.18,0.88,0,0,1.7,1.51,5.23,0.65,6.96
120,0,0,0,6.78,0,0,27.13,2.48,1.26,23.63,4.29,0,4.06,2,0,0,0,2960.2,0,527.87,0,0,25.26,164.57,0,0,0,0,0,13.8,0,0,22.55,0,0,3.54,0,11.55
