stage,blastomeres,epidermis,eye,glial,gut,lateral_line,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,vasculature
  5-6,9.73,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,12.1,8.94,0,0
 10-12,0,0,0,0,0,0,0,0,0,44.48,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0.84
 24-34,0,0,0,0,0,0,0.84,0,0,1.53,0,1.2,0
 36-46,0,0,0,0,0,0,0,0,0,0.7,0,0,0
 48-58,0,0.76,1.86,0.82,0,0,0,0,0,4.03,0,0,0
 72-82,0,0,13.57,0.62,0,0,0,0.82,0.58,3.09,0,0,0
 84-94,0,0,0,0.56,1.44,0,0,2.56,0,0,0,0.8,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.74,0
108-118,0,0.44,0,0,0,0,0,0,0,1.06,0,0,0
120,0,0,6.12,0,0,2.53,0,0,0,0,0,0,0
