stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,3.15,0.87,62.59,0,1.02,1.05,0,0,0,0
 24-34,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,13.11,0,0,0,66.02,0,0,3.33,0,0,0,0
 36-46,0,0,0,0,2.32,0,0,0,0,1.36,0,0,0,0.85,0,0.94,0,0,24.52,0,0,0,25.56,6.65,0,4.22,0,0,0,0
 48-58,0,0,0,0,29.46,0,0,0,0,1.06,0,0,0,0,0,0.95,0,0,15.93,0,0.55,0,10.37,0,0,0.57,0,0,0,0
 60-70,0.57,0.68,0,0,244.84,0,0,2.96,0,4.48,0,0,0,0,0.88,0,0,0,3.74,0,2.19,0,24.71,0,0,0,0,0,0,0
 72-82,0,0,0,7.59,671.88,1.5,0,36.86,1.37,0,0,0,1.04,0,0,12.41,1.23,0.58,65.85,0,0.5,0,36.1,0,0,7.67,0,5.52,0.96,4.37
 84-94,0.7,0,3.88,5.27,1574.17,1.61,1.9,10.24,3.54,0,0.97,0,1.05,0,0.58,20.39,0,0,68.22,0,7.52,0,129.28,2.75,0,0,0,0,5.11,12.46
 96-106,0,2.11,4.32,16.16,2040.73,0,0,33.06,2.04,0,0.77,1.28,1.57,5.9,0,21.44,0,6.23,79.82,0.68,0,0,29.69,0,0,0,2.16,0,0.61,8.27
108-118,0,4.52,3.7,3.96,2841.25,0,3.91,12.03,1.88,0,0,0,0.69,12.99,5.98,25.22,0.55,3.51,97.35,0,5.86,0,20.09,0,0,9.29,0,0,3.3,0.75
120,0,1.28,17.98,0,1624.79,12.24,5.01,18.09,0,0,4.19,0,0,0,0,29.28,0,0,159.35,1.33,1.35,0,3.26,0,0,1.53,0,0,0,0
