stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.27,25.52,4.94,0,1.79,0,0,0,0.84,0,1.19,0.81,0,0,0,0,0,0,3,0,0,4.29,77.78,0.89,0,0,0.8,0,1.96,11.36,0,8.31,15.84,0,0,0,0,0
 24-34,0,6.14,0,0,42.45,0,0,0,1.52,0,0,2.16,0,0,0.63,0,1.41,0,17.23,0,0,6.15,304.17,0.68,0,1.36,0,0,25.02,0,0,4.37,71.82,0,0,0,0,0
 36-46,0,22.89,1.94,0,86.56,0,0,0,1.62,0,0,1.48,0,0.93,0,0,0,0,19.43,0,0,1.63,287.02,2.6,0,10.76,0,0,3.36,0,0,0,26,0,0,1.63,0,0
 48-58,1.75,2.79,4.43,0,134.01,0,0,0,8.84,0,0,0,0,0,0,0,0,0.78,25.81,0.81,0,0,328.05,0,0,0.41,0,0,0,0,0,0,20.08,0,0,0,0,0
 60-70,0,11.42,0,0,183.34,0,3.82,0.84,21.72,0,0,0,0,0,0.67,0,0,0,59.7,0,0,3.13,213.99,0,0.98,1.79,0,0,6.59,0,0,0,20.16,0.99,0,2.66,0,0
 72-82,0,3.32,2.81,0,51.81,0,0,4.56,5.51,1.01,0,0,1.05,0,3.86,0,0,0,23.97,0,6.29,0.63,92.88,0,0.88,1.42,0,0,5.26,0,0,0,1.92,0.68,2.87,0.94,2.07,0
 84-94,0,0.96,0,0,42.26,0,0,0,8.69,3.01,0,0,2.97,0,0,1.13,0,0,20.63,0.61,0.85,2.8,67.63,0.76,0,0.59,0,0,9.65,0,0.57,0,2.43,1.17,0,1.94,0.77,0
 96-106,0,2.45,1.63,0,29.84,0.87,0,1.07,5.18,3.1,0,0,1.53,0,0,0,0,0,10.99,2.91,0,0.79,42.6,0,0,3.2,0,4.62,15.07,0,1.33,0,2.3,0,0,0,0,1.69
108-118,0.61,6.02,6.9,0.75,24.88,0,0.56,0,13.36,0,0,0,2.01,0.45,2.29,0,0.59,0,20.54,0.71,1.08,4.08,84.74,0,4.29,0,0,0,12.05,0,0,0,1.21,0.71,0,2.29,2.08,0
120,0,2.89,3.32,0,83.66,0,1.22,0,2.24,5.52,0,0,0,2.4,0,0,0,0,54.24,0,0,5.85,72.65,1.1,0,4.8,0,0,5.26,0,0,0,0,0,0,0,0,0
