stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0,0
  5-6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.61,0,0,18.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.06,16.56,0,0,10.36,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.44,11.12,0,0,112.99,0,0,0,17.08,0,0,6.57,0,0
 14-21,0,0,0,2.07,10.53,9.22,0,0,0,238.41,0,0,0,0,0,0,0,9.77,6.13,194.65,4.92,10.83,71.83,25.66,0,1.53,11.31,195.88,14.43,22.66,724.74,0,0
 24-34,0,0,0,0,2.64,0,3.64,0,0,202.51,0,0,0,0.62,0,0,2.46,16.21,5.35,130.88,2.19,91.31,11.35,0,3.39,0,0,101.64,2.37,17,421,0,0
 36-46,0,0,0,0,0,0,3.42,0,0,43.9,0.61,0,0,0.74,0,0,0,1.48,5.2,85.84,0,92.8,1.45,0,0,0,0,28.11,0,0,175.79,0,5.07
 48-58,0,0,0,0,0.43,0,12.03,0.38,0,56.7,0,0,0,0,0.4,0,0,3.96,5.31,65.12,0,55.06,6.75,0,1.19,0,0,8.83,0,0,158.71,0,0
 60-70,0,0,0,0,0,0,2.01,3.02,0,56.56,0,0,0,0,6.75,0,0,1.82,10.21,50.53,0,84.46,18.23,0,0,0,0,13.31,0,0,89.58,0,0.87
 72-82,0,0,0,0,0,0.71,10.11,5.37,0,96.19,1.53,0,0,0,6.55,0,0,2.08,0.67,45.72,0,115.59,12.67,0,0,0,0,9.01,0,0,81.22,0.52,0
 84-94,0,0,1.05,0.74,0.67,5.12,24.16,0,0.62,53.76,1.12,0,0,0,7.77,0,0,7.78,2.34,37.9,0.74,142.52,27.96,0,0,1.4,0,15.73,0,0,52.09,1.5,0
 96-106,0,0,0,1.77,1.89,0,19.83,3.53,2.29,66.02,1.1,1.32,0.95,0,13.88,0,0,11.66,0.59,43.29,0.62,205.89,43.93,0,0,0,0,9.14,0.64,0,29.2,0,0
108-118,0,0,0,1.02,0.42,0,11.67,3.01,1.52,45.26,0,0,0,0,11.2,3.13,0,9.28,1.16,38.21,2.49,152.54,24.99,0,0,0,0,10.06,0,0,37.61,0,0
120,0,0,0,0,4.84,0,24.22,1.1,0,24.39,0,0,0,0,6.31,0,0,10.12,0,38.45,2.43,56.14,20.31,0,0,0,0,19.69,0,0,20.47,3.03,0
