stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature
  5-6,21.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,11.13,0,0,0,0,0
 14-21,0,0.83,0,0,0,0,0,0,0,0,0,0,0,3.12,0,1.09,0,0.96,0
 24-34,0,0.77,0,0.73,0,0,0,0.64,1.8,0,0,0,0,5.81,0,10.45,1.17,0,0
 36-46,0,0,0,2.1,0,0,0,0,0,0,0,3.82,0,47.89,2.37,27.41,0,2.65,0
 48-58,0,0,0,0.51,0.48,0,0,0,0,0,0,3.56,0.67,16.04,0,9.53,0,0,0
 60-70,0,0,0.67,11.16,0,0,0.98,0,0,1.41,3.59,0,0,25.63,0,12.28,0,1.6,0
 72-82,0,0,0,8.06,3.68,0,0.56,0,0,0,0,0.88,0,3.51,0,2.73,0,0,0
 84-94,0,0.9,0,0,4.65,1.03,0,0,0,0,0,0,0,7.59,0,10.43,0,0,0
 96-106,0,8.41,3.56,1.21,0,0,0,0,0,0,0,4.19,0,4.18,0,0,0,0,0
108-118,0,0.58,0,0,0,0,0,2.85,0,0,0,2.63,0,11.97,0,1.17,0,0,1.07
120,0,15.55,0,0,0,0,0,0,0,0,0,0,0,25.07,0,1.24,0,0,0
