stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,47.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.83,0,3.58,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,11.62,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,23.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.41,0,0,0,8.45,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.25,185.79,23.27,0,11.55,0,0,0,0,0.97,0,6.54,0,0.86,0,0,1.41,25.07,149.19,0,0,98.42,200.72,24.31,0,0,0,0,0,2.3,0,2.78,51.8,0,0,9.57,0,0
 24-34,1.76,0,0,1.86,172.19,4.35,0,17.17,0,1.95,7.29,37.33,0,0,84.23,0,0,24.03,0.68,1.75,84.47,569.62,1.46,3.32,299.33,677.05,25.95,3.93,2.55,0,2.6,13.09,0,0,0.66,162.41,0,0,112.56,0,0.69
 36-46,0,0,0,0.56,119.3,3.68,0,35.24,0,7.4,31.76,48.4,0,0,55.55,0,3.67,1.45,0,0,8.79,765.22,0,20.01,175.14,2170.07,24.47,11.77,1.41,0,5.04,8.98,0,0,0.58,164.89,0,2.21,71.26,0,1.51
 48-58,0,0,0.46,0,86.34,1.4,0,284.12,0,20.75,23.16,64.07,0,0,48.33,0,0,9.52,0.39,2.2,13.67,1007.46,0.53,45.34,144.47,4093.17,29.62,4.28,8.69,0,4.89,15.77,0,0,0,115.79,0,2.11,62.24,0.9,8.04
 60-70,0,0,0,0,71.8,3.76,0,436.72,0.84,11.26,17.96,67.68,0,0,28.43,0,0,5,0,9.67,5.8,1510.26,0,47.86,98.42,5324.28,72.64,8.83,9.27,0,6.4,3.57,0,0,0,84.72,0,10.99,104.21,3.92,24.93
 72-82,0,0,0,0,51.21,9.58,0,525.16,0,9.37,31.71,76.29,1.33,0,29.36,0,3.33,0,1.33,1.36,3.28,1812.57,0.55,100.86,98.74,3334.1,28.47,2.88,11.54,0,9.44,0.64,0,2.57,0,86.66,0,11.92,93.41,17.36,23.34
 84-94,1.23,0,0,1,129.37,0,0,491.05,1.34,7.93,29.93,47.69,0,0,48.86,1.42,2.07,4.92,1.91,0,5.73,1559.42,0,84.63,61.65,2007.2,43.97,0,29.38,0,28.95,16.45,0,0,0,44.9,3.84,22.04,96.58,15.79,9.56
 96-106,0,0,0,0,72.27,16.75,0,198.41,0.74,7.61,14.08,33.07,1.27,0,28.83,1,5.72,3.54,0,1.98,5.27,1302.24,0,70.7,80.1,1405.99,21.08,0,6.97,0,10.44,15.86,0,3.23,0,24.91,2.03,11.77,124.47,21.38,8.18
108-118,0,0,0.69,0,133.17,9.23,8.67,240.35,0.64,11.45,11.82,57.1,5.43,0,22,1.91,4.71,8.73,0.89,2.38,4.83,1315.58,0.43,104.8,54.87,2155.54,27.49,2.67,14.65,0,7.06,5.65,0,1.23,0,15.33,1.88,20.17,64.74,12.35,31.95
120,2.82,0,0,0,92.11,2.18,0,454.06,12.08,3.71,10.14,82.46,6.42,0,16.62,1.22,4.3,2.62,2.64,0,1.79,1668.48,1.56,150.96,76.49,3536.18,69.96,0,10.32,0,17.01,2.49,0,0,0,44.4,0,5.64,116.53,24.9,0
