stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,33.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,5.39,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,22.37,0,0,0,0,0,0,0,3.82,0,0,3.31,0,0,0,0,0,0,15.07,0,0
 36-46,0,0,0,0,0,0.79,0,0,0,0,0,0,27.91,0,0,0,0,0,0,0,9.97,0,0,2.76,0,0,0,0,0,0,5.13,0,0
 48-58,0,0,0,0,0,0.46,0,0,0,1.01,0,0,19.2,0,0,0,4.77,0,0,0,0.73,0,0,21.01,0,0,0,0,0,0,6.38,0,0.93
 60-70,0,0,0,0,0,280.69,0,0,0,1.16,0,0,16.23,0,0,0,0,0.68,0,0,46.74,0,0,163.24,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,5.14,0,1399.02,0,0.58,3.32,37.17,0,0,22.33,0,0.99,0,0,3.51,0,1.6,93.23,1.13,1.43,276.84,0,0,0.8,0,0,1.87,3.52,1.51,0
 84-94,0,1.14,0,0.88,4.45,1597.12,0,0.91,0,21.83,0,0,20.96,0,0,2.33,0,22.49,0,1.01,63.39,0,1.84,1053.18,0,0,5.44,0,0,0,0,0,0
 96-106,0,1.37,0,11.61,16.08,3926.55,2.55,0.59,0.85,61.01,2,0.89,10.42,0.97,0,6.02,0,30.02,0.59,0,93.83,0,0,1536.98,0,3.12,0,0.7,0,0,1.38,0,13.43
108-118,0,0.64,0,14.31,8.24,4552.71,0.54,0.7,1.43,19.29,0.91,0,1.72,0,0,0.45,0,23.16,0,0,93.5,4.66,0,1638.53,0,0,0,0,3.47,6.84,4.37,1.79,0
120,0,0,6.35,1.24,0,3400.24,0,0,0,81.82,0,0,8.75,0,0,0,0,37.23,0,6.93,450.78,5.26,0,1990.55,0,0,3.68,0,0,0,0,0,0
