stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,37.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0
  5-6,20.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.63,0,0,3.47,0,0,0,0,37.65,6.39,0,0,22.48,0,0,0,0,0,0,0
 10-12,6.56,0,30.55,0,0,0,0,0,0,0,121.41,22.18,0,0,4.34,0,0,0,0,0,0,0
 14-21,0,1.18,0,0,1.01,0,0,0,0,0,12.76,0.81,0,0,0,0,0,0,2.94,0,0,0
 24-34,0,0,2.66,0,1.05,0,0,0,0,0.87,18.57,0,1.41,0,0,0,0,0.79,8.3,0,0,0
 36-46,0,0,7.09,0,3.62,0,0,0.6,7.09,1.95,51.19,0,2.26,0,0,0,0,0,14.34,0,1.85,0
 48-58,0,1.51,9.95,0.42,3.53,0,0,0,2.01,0,65.33,0,6.81,0,0,0,0,0,12.87,0,0,0
 60-70,0,0,43.35,0,4.95,0,0,0,4.19,0,39.19,0,6.62,0,0,0,0,0,9.44,0.59,0,0
 72-82,0,0,27.92,0,7.1,0,0,0,7.73,0,35,0,2.65,0,0,0,0,0,5.49,0.61,0,2.06
 84-94,0,0.65,5.96,0,2.67,0,0,0,8.26,0,37.47,0,0,0,0,0,0,0,3.26,0,0,0
 96-106,0,0,16.16,0,0,0,0.93,0,1.45,0,32.45,0,5.54,0.57,0,0,0,0,3.79,0,0,0
108-118,0,0,14.8,0,4.28,0,0,0,0,0,14.42,0,1.96,0,0,0,0,0,0.71,0,0,0
120,0,0,8.38,0,0,0,0,0,0,0,17.51,0,0,0,0,4.48,0,0,0,0,0,0
