stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.96,0,0,0,0,0,0,0,0,0,14.03,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.87,0,0,6.28,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.38,6.83,0,0,0,0.82,76.27,0
 24-34,0,0,1.09,0,0,0,0,0,3.16,0,18.78,0,0,0,0,0.63,0
 36-46,0,0,0,0,0,0,0,0,4.05,3.6,1.34,0,0,0,0,1.09,4.9
 48-58,0,0,1.92,0.76,0,0,7.08,0.51,4.53,0,1.65,0,0,0,0,0,1.25
 60-70,0,0,3.27,1.23,0,0,0,0,3.08,0,7.6,0,0,0,0,0,0
 72-82,0,0,8.28,0,0,3.28,0,0,7.43,0.51,6.44,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,6.47,2.43,4.39,0,1.31,0,0,0,0
 96-106,0,0,5.46,0,0,0,0,0,0,6.81,9.85,0,0,0,0,0,0
108-118,0,0.54,0.53,0.6,1.9,0,0,0,3.56,0.59,11.55,4.08,0.45,0,0,0,0
120,0,2.15,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0
