stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.36,68.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
  5-6,17.54,75.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,59.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.41,0,11.62,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0,0,164.2,0,0,0,12.33,0,4.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,7.5,2.19,0,0,0,1.2,2.11,0,0,0,0,0,0,3,0,0,9.11,16.83,14.5,0,0,0,0,7.74,0.83,2.28,0,10.5,0,0,0,0,0
 24-34,0,0,0,0.59,0.73,0,1.25,0,0,0.77,0.66,0,1.57,0,0,0,0,5.73,0,0,5.18,14.61,1.41,0,0,0,0,2.73,0,2.98,0,12.28,0,0,1.02,0,0
 36-46,0,0,0,0,0,0.72,0,0,0.61,1.87,0.56,0,0,0,0,0,7.17,29.76,0,0,5.55,43.2,17.03,0,0,0,0,0,0,0.61,0.6,15.41,0,0,0,0,7.66
 48-58,0,0,0,0,0,1.18,2.12,0,17.46,9.62,0,0,1.73,0,0.38,0,6.28,15.45,0,1.34,1.48,24.86,0.92,0,0,0,0.56,0,0,0,0,14.83,0,0,2.99,0,18.72
 60-70,0,0,0,0,1.75,0.67,19.77,0.69,9.51,75.58,0,0,1.31,0,0,0,1.94,51.03,0,0,2.57,95.13,1.34,0,0,0,0,0,0,0.65,0.65,26.98,0,0.9,1.12,0,1.82
 72-82,0,0,0,0,4.2,2.05,15.36,0,10.29,122.53,0,0,0,0,0.88,0.62,0.5,53.96,0,0,1.73,75.46,0,0,0,0,0,0,0,0.55,0,20.16,0,2.5,0.76,0,3.97
 84-94,0,0,0,0,0.86,4.79,29.47,0.56,14.16,95.96,0,0,0,2.12,1.13,0,6.39,47.93,0,2.97,8.85,35.95,0,0,1.17,0,0,2.57,0,0.96,0.69,6.15,0.62,3.04,0,0.72,10.38
 96-106,0,0,0.81,0,5.43,3.57,4.67,0,37.3,162.89,1.03,0,9.3,1.28,0,0,0.65,78.13,0,2.02,7.33,87.66,0.58,0,0,0,0,0,0,0.71,0,15.39,1.2,8.71,4.07,2.77,10.64
108-118,0,0,0,0,10.11,3.41,39.96,2.51,27.61,207.92,3.55,0,0,1.75,0.53,3,4.45,124.18,2.32,5.71,2.76,90.63,0.71,0.45,0.95,0,15.13,0,0,1.5,1.58,18.13,0.83,7.43,9.92,0.73,10.97
120,5.65,0,0,0,13.94,13.22,8.29,2.27,15.22,264,0,0,0,25.05,0,0,0,107.55,0,0,12.08,203.21,0,0,0,0,0,0,0,2.39,0,26.2,1.9,25.2,34.38,6.96,0
