stage,epidermis,eye,iridophores,mesenchyme
 60-70,0,0,12.72,0
 72-82,0,0,15.76,0
 84-94,0,0,5.29,0
 96-106,0,1.15,7.92,0
108-118,3.1,0,1.28,2.05
120,0,0,1.11,0
