stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,gut,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.05,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0.98,0,0,0
 24-34,0,0,0,0.65,0,0,0,0,0,0,0,1.17,0,0.81,0,0,0
 36-46,0,0,0,0,0.76,0,0,0.77,0,0,0,3.72,0.63,0.57,0,0,0
 48-58,0,0,0,0,2.2,0,0,0,0,0,0,1.02,0,0,0,0.39,0
 60-70,3.67,1.27,0,0,1.28,0,0,0,0,1.53,0,0.63,0,0,0,0,0
 72-82,0,6.15,2.15,2.62,2.01,1.93,0,1.15,0,0.71,0.56,0,0,0,0,0,0
 84-94,0,2.58,12.52,0,2.91,2.45,0,0.65,0,0,0,0.55,0,0,0,0,0
 96-106,0,0.6,17.67,0,0,0,0,0,0.69,2.93,0,7.4,0,0,0,0,0
108-118,0.5,0,31.61,2.05,1.18,2.74,0.43,1.22,0,0.71,0.51,4.57,0,0,0.58,0,3.96
120,0,0,3.03,0,6.5,4.85,1.43,0,0,0,0,12.26,0,0,0,0,0
