stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,16.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,3.8,0,0,0,0,0,0,0,0
 10-12,0,0,5.73,0,0,0,15.74,0,0,0,0,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.09,0,0,0.83,0,0,0,0,0,0,0,0,8.74,0,0,9.04,0,0,1.74,0,2.01,2.98,0,0,0
 24-34,0,0,0,1.62,0,0,14.06,0,8.88,0,0,0,0,0,0,0.64,0,1.63,44,0,1.22,15.31,0,0,30.93,0.6,0,7.53,1.04,0,0
 36-46,0,0,0,0,0,0,5.17,0,16.68,0,0,0,0,4.76,0,0,0.55,0,28.86,0,0,13.73,0,0,8.96,0,0,6.7,0,0,0
 48-58,0,0,0,0,0,0,11.91,0,61.88,0,0,0,0,1.27,0,4.7,0,0,33.33,0,0,27.42,0,0,28.78,0,0,27.45,0,0,0
 60-70,0,0,0,5.04,0,0,7.46,0,127.05,0,0,1.37,1.16,0,0,40.65,0,0,33.01,0,0,25.62,0,0,5.93,0,0,3.46,0,0,7.44
 72-82,0,0,0,5.62,0,0,22.37,0,274.12,0.51,0.64,0,0,3.21,0,92.02,1.08,0.7,27.3,0,0,77.52,0,0.6,17.64,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,18.07,0,197.17,4.7,0,0,0,0.81,5.56,95.23,0,0,25.2,0,0.93,103.14,0,0,24.21,0,0,3.31,0,2.54,0
 96-106,0,0,0,11.21,3.17,0,15.84,0.69,225.05,9.03,1.89,0.87,0,6.4,17.95,92.94,0,1.54,32.74,8.02,0,131.99,0,1.73,39.11,0,0,0,1.49,1.02,0
108-118,0,0,0,5.16,1.66,0.84,13.64,3.26,260.99,9.57,0,0,0,0,14.68,150.51,0,3.72,39.2,0,0.49,124.7,0,0,23.57,0,0,0,5.23,0,3.32
120,2.37,0,0,6.98,0,0,33.48,0,257.47,21.38,0,0,0,1.34,11.64,128.15,0,2.36,28.42,3.31,0,133.09,0,0,15.74,0,0,0,0,0,0
