stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,heart,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,16.32,0,0,0,0,0,0,0,0,0,0,0,120.66,0
  5-6,30.54,0,0,0,0,0,0,0,0,0,0,0,514.43,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.41,58.89,0
 10-12,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0
 14-21,0,1.06,2.84,0,0,0,0,13.37,2.05,2.6,3.41,0,2.22,0
 24-34,0,0,0,0,0,2.45,0,1.75,0,0,0,0,20.48,0
 36-46,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.92,0,0,4.47,0
 60-70,0,0,0,0,1.7,0,0,0,0,0,0,0,6.33,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0
 96-106,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0
108-118,0,0,0,0.6,0,0,1.47,0,0,0,0,0,0,0.92
