stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.93,322.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.28,336.73,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0
  7-9,25.65,14.49,0,18.35,0,0,0,72.73,0,0,0,0,17.35,0,0,0,0,0,0,0,0,0,0,0,523.51,7.76,0,0,139.31,0,7.62,0,0,0,0,0,0,0,0,0
 10-12,0,31.84,0,15.6,0,0,0,35.14,0,0,0,0,23.17,0,0,0,0,0,0,0,0,0,0,0,503.27,10.83,0,0,149.01,0,0,0,4.13,0,9.81,0,0,0,0,0
 14-21,0,0,0,0,10.06,0,0,2.07,0,0,0,0.94,0.85,0,0,0,0,0,0,0,0,0,0,0,19.18,4.16,0,0,0,0,0,3.8,0,6.31,9.25,0,0,0,0,0
 24-34,0,0,0,0,3.74,0,0,9.4,0,0,1.77,0,0,0,0,0.93,0,0.86,0,2.18,4.94,0,0,4.09,121.01,0,0,3.17,0,6.34,0,0,0,1.63,11.05,0,0,5.49,0,0
 36-46,0,0,0,0,6.38,0,0,25.22,0,0,11.64,0,0,0,0,0.63,0,0,0,0,3.96,0,0,1.21,118.87,0,0,0,0,0.68,0,0,0,0,16.6,0,0,0.56,0,0
 48-58,0,0,0,0,1.31,0,0,49.74,0,0,12.34,0,0,0,0.74,0,3.58,0,1.59,0,12.49,0.81,0,1.95,129.57,0,0,7.87,0,0.5,0,0,0,0,26.95,0,0,1.85,0,1.95
 60-70,0,0,0,0,7.67,0.67,0,69.61,1.42,0,19.8,0,0,0.9,4.97,0,0,0,0,0,15.49,0,0,6.57,100.09,0,0,5.69,0,3.56,0,0,0,0,15.41,0,0,9.66,0,4.39
 72-82,0,0,0.68,0,2.92,0,0,59.54,0.66,0.58,7.95,0,0,0,0,0,0,0,0,0,16.89,0,0,0,76.78,0.52,0,2.22,0,1.73,0,0,0,0,11.53,6.65,0.87,6.59,0,0
 84-94,0,0,0,0,3.27,1.06,0,32.07,0,0,0,0.94,0,0,0,1.02,0,0,0,0,19.06,3.24,1.58,0,38.64,0,0,15.15,0,3.56,0,0,0,0,5.56,57.66,0,1.4,0,0
 96-106,0,0,0,0,5.88,0,0.8,24.27,0,0,5.66,2.16,0,0,0.61,0,0,0,3.15,0,8.65,0,0,0,41.44,0,1.9,14.47,0,3.41,0,0,0,0,0,140.74,0.78,0,2.72,9.09
108-118,0,0,0,0,3.4,1.45,0,41.65,0.66,0,3.4,1.64,0,0,1.54,0,0,0,1.33,0,13.42,1.15,0,2.62,48.66,0,0,7.67,0,0.59,0,0,0,0,0,279.31,0,1.08,0,2.31
120,0,0,0,0,3.34,1.79,0,22.74,0,0,30.78,0,0,0,2.23,0,0,0,0,0,3.41,0,0,6.56,79.57,0,0,0,0,3.45,0,0,0,0,4.03,98.35,0,0,1.8,0
