stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.02,64.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.75,0,0,0,0,0,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,0,0,0,8.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.83,0,0,13.77,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,315.48,0,0,0,28.66,0,0,0,6.12,0,5.05,0,0,0,0,0,0
 14-21,0,0,1.07,0,32.21,8.08,8.72,0,0,1.95,1.38,0,0,0,0,0,0,0,2.15,54.57,0,32.04,373.12,0.81,5.63,6.55,0,0,0,0,5.37,14.04,89.01,120.36,0,0,0,0,0
 24-34,0,0,0.62,0,7.1,3.6,27.97,0,0,0,0.73,0,3.17,1.72,0,0.63,0,0,0,85.11,1.63,31.01,1020.41,0.63,16,0,0,0,0,0,0,0,37.18,318.84,0,0,41.58,0,0
 36-46,0,0,0,0,1.69,1.32,81.41,0,5.72,9.81,0,0,9.6,0,0,0,0,0,0,82.97,1.77,26.76,1314.69,0,5.02,0,0,0,0,0.81,0,0,0,346.64,0,0,27.37,0,0
 48-58,0,0,0,0,2.44,0,130.83,0,1.28,35.65,0,0,21.09,0,0,0,0,0,0,74.87,2.04,29.55,1082.3,0,1.32,0.48,0,0,0,0,0,0,0,177.01,0,1.52,21,0,4.61
 60-70,0,0,0,0,1,0,210.35,0,0.68,29.07,0,0,23.98,0.69,0,4.73,0,0,0,103.2,1.44,7.84,933.79,0,4.5,0,0,1.03,2.38,0,0,0,0,127.12,0,15.76,36.78,2.3,6.85
 72-82,0,0,3.25,0,4.33,0.55,103.69,0.8,1.55,25,0.73,0,20.48,0,0,0,0,0,0,176.91,3.35,10.04,718.12,0,0,0.81,0,6.3,0,0,0,0,0,68.96,2.16,15.8,89.73,2.93,0
 84-94,0,0,2.2,0,2.44,0,98.74,2.91,2.29,22.96,3.41,0,34.91,0,0,10.34,0,0,0,154.05,6.48,15.41,443.47,0,0,2.11,0,7.18,1.58,0,0,0,0,60.25,0,11.41,65.08,1.44,0
 96-106,0,0,0,0,2.8,2.42,89.61,0,6.09,32.91,0,0,24.24,0.64,0,1.8,0,0.61,0,132.13,2.31,9.37,435.34,0,3.65,0.63,0,5.99,4.99,0,0,0,0,26.92,4.37,16.07,94.55,6.38,0
108-118,0,0,1.12,0,6.47,0,139.41,0,1.51,9.09,3.6,0,24.19,0,1.06,5.67,0,0,0,181.84,1.87,18.76,372.13,0,3.14,0,0,4.52,0,0,0,0,0,21.22,0,11.32,74.28,3.18,0
120,0,0,0,0,7.04,0,168.91,1.11,5.21,60.47,6.14,0,4.67,0,2.91,0,2.89,0,0,153.33,54.05,16.33,488.05,0,0,4.8,0,2.03,0,0,0,0,0,6.32,0,49.4,90.54,0,0
