stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,561.92,8160.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.42,0,0,0,0,0,0,0,0,0
  5-6,425.12,6445.74,0,0,0,0,0,0,0,0,0,19.67,0,0,0,0,0,0,0,0,0,293.08,7.94,0,0,63.71,0,147.99,0,0,0,0,0,0,0,0,0
  7-9,46.43,42.26,0,76.59,0,0,149.61,0,0,0,0,131.65,0,0,0,0,0,0,0,0,0,2049.94,89.81,0,0,525.88,0,5.78,21.37,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,23.77,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,289.22,5.97,0,0,96.4,0,0,0,0,15.34,0,0,0,0,0,0
 14-21,0,0,0,1.1,1.78,0,2.35,0,0,4.43,0.99,2.15,0,5.39,0,0,0,5.63,0,0,1.12,27.17,0.83,0,0,0,0,0,0,6.47,1.89,0,22.95,0,0,0,0
 24-34,0,0,1.23,0,0.63,0,7.45,0,0.62,12.91,0,0,0,0,0,0,0,2.01,0,0,2.12,39.68,0,0,0,0,0,0,0,1.1,0,0,30.77,0,2.64,0,0
 36-46,0,0,0,0,0,0,15.47,0,0.58,27.97,0,0,0,0,0,0,1.32,3.96,0,0,0,29.74,0,4.8,0,0,0,3.06,0,0,0,0,14.45,0,6.22,1.55,0
 48-58,0,0,0,0,0,0,41.1,0,1.28,95.04,0,0,0,0,0.92,0,8.8,3.12,0,0,0,57.33,0,0.91,0,0,0,0,0,0,0,0,40.77,0,4.59,2.91,3.23
 60-70,0,0,0,0,2.67,0,181.81,0,0,77.69,0.61,0,0,0,0,0,0,3.78,0,0,0,11.01,0,0,0,0,14.42,0,0,0,0,0,26.56,0,26.85,0,0
 72-82,0,0,0,0,9.98,0,162.62,1.01,0,202.12,0,0,2.58,0,2.18,0,1.4,11.22,0,0,1.07,62.82,0,0,1.21,0,0,0,0,0,0,0,18.2,0,81.51,15.05,0
 84-94,0,0,0,0,0.94,9.83,688.92,0,0,153.91,2.51,0,0,2.59,3.85,0,2.99,15.54,0,21.11,0.55,41.64,0,0,0,0,7.4,2.81,1.4,0,0,0.79,22.37,1.37,143.54,16.59,0
 96-106,0,0,0,0,0.75,11.1,521.77,2.5,1.26,173.48,0,0,1.37,0,1.2,10.95,1.01,20.21,0.69,13.96,2.64,60.95,0,0,2.51,0,24.39,5.88,0,0,0,7.97,17.64,0,118.43,17.84,1.22
108-118,0,0,0,0,5.15,1.09,867.19,0,0,133.78,2.2,0,1.59,0,0.44,1.68,3.14,22.74,0,0,0.56,69.68,0,0,0,0,24.79,3.83,0,0,0,0.76,9.78,0,114.64,1.4,0
120,0,0,0,0,0,0,322.36,0,0,417.29,0,0,2.23,0,1.56,0,0,12.86,0,0,1.98,159.14,0,0,1.05,0,58.15,1.14,0,0,0,0,19.41,0,173.71,4.8,0
