stage,erythrocytes,eye,glial,immune,neural,periderm,xanthophores
 24-34,0,0.6,0,0,0,0,0
 72-82,0.76,0,0,0,1.18,0,0
 84-94,0,0,1.1,0,0,0,0
 96-106,0,0,0,0,0,2.6,9.89
108-118,0,0,0,0,0,0,3.98
120,0,0,0,4.1,0,2.24,0
