stage,erythrocytes,eye,lateral_line,mesenchyme,neural,vasculature
  7-9,0,0,0,0,3.99,0
 24-34,0,0,0,0,2.53,0
 60-70,0,0,0,0,1.14,0
 72-82,0,0,2.72,1.14,1.32,0
 96-106,0,0,0,2.6,4.59,0
108-118,0,0,0,5.94,0,1.71
120,2.93,4.97,2.39,17.61,0,0
