stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.41,2.47,51.82,24,0,24.61,0,0,0,17.75,3.56,1.44,0,0,0.81,0,0,6.06,0,27.3,0,0,23.22,417.13,3.99,1,6.11,11.08,0,2.1,0,61.45,1.89,5.16,139.99,108.44,0,0,4.89,0,0
 24-34,0,3.74,17.95,0.9,0,62.95,0.93,0.6,0,15.27,0,0,0.75,0,1.48,1.29,3.9,3.43,0,37.88,0,3.18,28.84,736.15,2.44,7.96,9.56,0,0,5.99,0,0.71,0,0,25.63,171.72,0,0,16.87,0,1.93
 36-46,1.03,0,9.81,1.59,0,137.44,5.36,0,2.12,15.81,0.72,0,0,0.56,0,0.56,3.57,0,0,42.58,0,0.6,21.66,724.66,6.14,8.31,9.3,0,0,15.52,0.65,0,0.63,0,0,174.97,0,0,9.62,0,0
 48-58,0,0,5.2,5.42,0,215.74,2.53,4,3.35,53.44,0,1.16,1.05,0,0,0,0.56,0,4.89,65.72,1.38,2.71,9.56,548.08,0.56,1.07,1.59,4.77,0.53,16.65,0,0,0,0,0,107.03,0,0,7.25,0,10.93
 60-70,6.75,0,8.39,0,0,434.31,1.7,2.96,5.49,36.98,1.84,0,1.77,0,0,0,1.79,0,0.88,84.16,0.67,0,6.34,420.63,1.16,2.18,20.5,0,0.71,12.11,0,0,0,2.36,0,88.52,0,0,8.79,0,15.34
 72-82,2.35,0,4.95,17.41,0,391.47,3.15,11.69,10.97,46.42,2.22,0,2.31,0.99,3.02,1.3,2.14,1.19,0,113.45,0.83,4.08,9.4,352.92,0,6.25,3.27,0,0,9.84,0,0,1.58,0,0,45.14,0.88,4.01,7.38,0,1.94
 84-94,1.99,0,15.91,12.54,0,315.11,0,5.73,8.32,44.4,3.21,3.25,4.17,8.98,1.76,1.32,0,0.83,6.69,93.37,1.56,0,11.39,319.29,7.76,8.3,11.29,0,0,34.1,0,0,0,5.42,0,53.55,1.15,0,10.14,0,0.89
 96-106,0.89,0,14.09,28.42,1.84,294.54,1.7,0,2.93,38.05,3.68,0,0,7.34,2.86,0.66,4.47,1.25,0,89.22,4,4.01,8.92,256.19,3.35,4.97,6.06,0,0,34.46,0,0,3.29,0,0,3.06,1.17,0,19.23,5.21,2.87
108-118,1.98,0.74,29.28,13.5,0,226.98,1.51,3.31,0.47,52.87,4.31,0,2.89,3.97,7.38,1.31,1.8,2.82,3.16,139.99,5.98,2.36,23.46,296.79,0.89,7.84,9.41,8.11,4.5,31.35,0,0,1.48,0.55,0,9.85,1.42,1.21,6.6,0,16.94
120,0,0,31.58,16.89,1.91,227.49,4.63,2.79,6.51,84.42,5.44,0,4.47,18.95,0,0,0,3,0,79.63,1.72,6.62,15.09,390.83,4.38,14.83,11.24,0,0,29.91,2.5,0,1.21,0,0,14.1,0,0,14.29,18.16,0
